Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour
36,419,79,0,0,33,25,0,0,165,1081,45,22,1286
37,245,2,0,0,15,240,1,0,248,16431,41,17,172
38,88,74,0,0,60,46,0,0,7,13974,41,23,914
39,32,94,0,0,27,212,0,1,250,4194,42,19,735
40,65,54,0,2,0,0,0,0,23,7087,44,22,589
41,192,41,0,0,18,245,0,0,243,10954,44,23,39
42,245,2,16,0,0,0,1,0,199,3376,41,16,514
43,493,41,0,0,38,101,0,0,195,6782,45,15,409
44,392,41,0,0,10,7,0,1,231,20,44,21,572
45,477,41,0,0,15,211,1,0,234,10406,46,19,129
46,345,78,0,0,0,216,1,0,181,1629,40,14,448
47,32,94,0,0,26,173,0,0,180,1353,41,19,1243
48,485,41,0,0,11,47,0,0,237,16989,45,25,257
49,487,41,0,0,2,211,1,0,241,11790,40,23,143
50,32,94,0,2,0,0,0,0,16,10088,44,25,1233
51,217,41,0,0,0,273,0,0,19,1322,43,21,1347
52,283,41,0,0,12,253,0,1,260,16146,46,25,630
53,221,41,0,5,60,187,0,0,190,17530,45,17,1096
54,493,41,0,0,38,79,0,0,186,8255,46,25,842
55,313,41,0,0,38,79,0,0,256,15850,46,24,900
56,327,120,0,6,0,1,0,0,216,11424,46,23,332
57,487,41,0,0,6,219,1,0,222,13249,40,19,1356
58,379,74,0,0,9,221,0,0,189,2694,44,15,1023
59,313,41,0,0,0,2,0,0,201,9140,45,21,251
60,477,41,0,0,9,266,1,1,63,1380,40,15,648
61,245,2,0,0,0,251,1,0,1,10061,42,20,130
62,403,48,0,0,32,33,0,0,222,16208,42,24,156
63,245,2,1,0,0,0,1,0,145,8230,45,15,674
64,69,130,0,0,27,79,1,0,206,9299,44,22,861
65,392,41,0,0,70,272,1,0,234,17771,41,16,580
66,116,130,0,0,38,215,1,1,207,7624,41,19,11
67,245,2,14,3,0,0,0,0,122,1077,40,14,296
68,245,2,1,2,0,226,0,0,100,7189,43,24,367
69,245,2,0,0,0,1,1,0,199,6431,46,18,723
70,283,41,0,0,82,219,0,1,16,10390,46,22,61
71,192,41,0,5,37,275,1,0,256,14288,44,19,62
72,97,130,0,0,1,273,0,0,215,12777,45,19,115
73,245,2,14,0,0,0,1,0,189,5545,44,19,367
74,493,41,0,0,38,79,0,0,189,7976,41,15,1235
75,221,41,0,5,16,267,0,0,190,5582,45,20,112
76,295,103,0,0,0,2,1,0,205,9377,42,23,873
77,337,65,0,0,12,236,0,0,243,13245,41,17,1292
78,245,2,17,0,0,0,1,0,199,8766,45,16,268
79,245,2,17,0,0,273,1,0,212,15293,40,19,604
80,165,130,0,0,4,210,0,0,268,8596,40,15,464
81,221,41,0,6,0,0,1,0,260,1247,41,22,300
82,493,41,0,0,38,101,0,0,196,6733,45,24,374
83,55,94,0,5,2,177,0,0,195,2640,44,17,587
84,245,2,0,0,0,194,1,1,180,17744,44,14,366
85,327,120,0,5,0,1,1,0,207,2485,11,5,0
86,283,41,0,0,38,177,0,1,173,5285,41,20,1414
87,327,120,0,6,0,0,0,0,222,14604,19,5,30
88,327,120,0,5,49,177,0,1,100,14986,45,20,962
89,245,2,0,0,0,194,1,0,217,4114,45,20,577
90,283,41,0,0,38,177,0,0,208,4361,46,20,1431
91,429,130,0,0,2,241,0,0,38,17247,44,20,244
92,295,96,0,5,38,191,0,0,210,3898,42,18,936
93,245,2,0,0,0,112,1,0,199,16151,42,22,1012
94,245,2,0,0,1,194,1,0,195,8263,46,23,233
95,392,41,0,0,78,279,0,0,17,16734,44,24,1280
96,122,130,0,0,38,167,0,0,268,11211,41,19,414
97,155,106,0,2,0,0,0,0,161,10088,46,21,662
98,327,120,0,6,0,0,0,0,222,12440,11,5,30
99,80,67,0,2,0,24,1,0,20,11047,41,16,354
100,156,114,0,0,18,72,1,1,205,2603,44,20,563
101,82,130,0,0,38,219,1,1,67,13363,45,22,115
102,32,94,0,2,0,0,0,0,186,10088,43,18,23
103,32,94,0,2,0,0,0,0,205,10088,44,20,376
104,419,79,0,0,36,53,0,0,211,1767,45,16,451
105,80,67,0,5,49,124,1,0,6,8551,41,16,445
106,493,41,0,0,38,101,0,0,195,7319,40,19,19
107,432,41,0,0,27,101,0,0,196,3573,45,13,787
108,261,9,0,0,20,243,0,0,229,10842,41,24,1005
109,327,120,1,0,0,194,0,0,165,13784,43,16,9
110,327,120,0,4,0,194,1,0,70,10405,41,21,7
111,89,41,0,0,9,224,1,0,190,9798,45,14,164
112,345,78,0,0,0,216,1,0,181,1629,40,14,130
113,9,41,0,0,38,101,0,0,182,9388,40,16,574
114,93,41,0,0,4,219,1,0,233,4308,46,16,558
115,327,120,0,6,0,0,0,0,222,11847,30,4,30
116,403,48,0,0,31,40,0,0,218,16794,42,16,1412
117,192,41,0,5,12,225,0,0,220,8528,44,15,1181
118,327,120,0,2,0,0,1,0,161,15006,46,25,1426
119,345,78,0,0,0,216,1,0,181,1629,40,14,136
120,80,67,0,3,0,228,0,0,18,3237,40,21,138
121,213,41,0,6,0,1,0,0,231,9612,41,24,688
122,69,130,0,0,49,183,0,0,206,10614,45,18,531
123,213,41,1,0,27,90,0,0,240,10040,45,20,1374
124,231,41,0,0,38,183,0,0,195,7860,41,22,455
125,13,74,0,3,0,0,0,0,170,4253,41,22,766
126,245,2,1,0,0,35,1,0,78,15133,44,22,253
127,493,41,0,5,38,46,0,0,195,5826,42,14,258
128,295,73,0,0,50,160,1,0,196,950,40,24,739
129,245,2,1,0,0,262,1,0,145,1462,42,19,606
130,521,41,0,0,6,230,0,0,249,11053,43,17,526
131,283,41,0,0,11,249,0,1,252,15178,41,19,869
132,392,41,0,0,15,26,1,1,199,18226,42,15,440
133,245,2,0,0,0,194,0,0,225,9402,45,15,512
134,345,78,0,0,0,216,1,0,181,1629,40,14,130
135,221,41,0,5,78,211,0,0,181,957,45,22,1361
136,370,41,0,0,0,262,0,1,177,5499,41,15,199
137,327,120,0,6,0,0,0,0,222,12368,4,5,30
138,289,109,0,0,29,23,1,0,170,17352,44,21,1410
139,221,41,0,5,16,267,0,0,201,6058,42,20,1110
140,122,130,0,0,49,220,1,0,52,13341,46,19,1290
141,485,41,0,0,16,34,0,0,255,15355,45,22,1408
142,521,41,0,0,36,19,0,0,246,16121,44,24,790
143,485,41,0,0,82,233,0,1,237,9231,40,25,161
144,32,41,0,0,1,223,0,1,210,8018,41,21,1306
145,245,2,14,2,15,0,0,0,195,14553,40,25,172
146,472,41,0,0,70,79,1,0,268,4877,43,21,582
147,32,94,0,0,28,171,0,0,56,1343,40,24,13
148,32,94,0,0,16,87,0,0,5,17541,45,22,5
149,295,96,0,5,18,272,0,1,235,12667,43,19,362
150,399,94,0,0,49,135,0,0,211,12206,44,25,1337
151,521,41,0,0,16,266,1,0,242,15740,42,24,410
152,245,2,0,0,0,194,1,0,14,17259,46,23,370
153,32,94,0,0,28,168,1,0,12,1178,44,25,9
154,283,41,0,0,70,124,1,0,208,7932,45,20,1435
155,187,41,0,0,38,68,0,0,182,1203,43,15,1299
156,221,41,0,5,15,24,0,0,195,11025,44,22,1145
157,9,41,0,0,1,35,1,0,61,9857,40,17,266
158,348,41,0,2,1,210,0,0,186,16382,43,19,571
159,327,120,0,0,82,242,0,0,227,5757,44,21,1420
160,283,41,0,0,82,227,0,0,222,10624,44,17,1025
161,245,2,16,0,0,0,1,1,190,5422,41,23,285
162,493,41,0,0,38,101,0,0,195,6993,40,18,187
163,32,94,0,0,15,256,1,0,220,7579,44,24,678
164,245,2,14,0,0,1,0,0,177,11479,45,19,328
165,245,2,0,0,0,240,1,0,243,18390,46,23,605
166,313,41,0,0,0,13,1,0,205,9574,40,20,1230
167,245,2,14,0,0,112,1,0,182,4175,44,20,182
168,399,94,0,0,78,183,0,0,216,13701,44,16,158
169,32,94,0,0,15,256,1,0,220,7344,42,16,548
170,485,41,0,0,23,26,0,0,208,13783,45,15,557
171,392,41,0,0,11,255,0,1,22,12241,44,25,466
172,32,94,0,0,22,53,0,0,207,14601,42,15,1243
173,152,41,1,0,38,101,0,0,219,18251,41,19,529
174,245,2,0,0,0,194,1,0,209,7284,40,21,925
175,221,41,0,5,38,113,0,0,209,14512,42,22,87
176,165,130,0,0,6,220,0,0,234,10936,43,24,162
177,245,2,16,0,27,194,1,0,195,15741,40,16,416
178,213,41,0,0,49,177,1,1,21,5347,46,15,613
179,277,94,0,5,0,79,1,1,228,17692,41,19,120
180,245,2,19,0,1,216,1,0,0,13692,46,19,376
181,419,79,0,0,30,33,0,0,195,614,41,23,485
182,264,41,0,0,0,13,0,0,2,8210,41,19,548
183,339,147,0,0,6,245,0,0,67,6371,43,21,1306
184,432,41,0,0,38,201,0,0,19,3252,43,15,173
185,116,130,0,0,9,271,0,0,165,12993,41,18,402
186,521,41,0,0,25,15,1,0,266,17538,45,21,895
187,9,41,0,0,15,46,1,0,246,10110,41,21,389
188,245,2,0,0,15,262,1,0,196,8406,40,20,272
189,485,41,0,0,18,244,0,0,208,8245,41,24,144
190,32,94,0,0,78,281,0,0,207,10038,43,20,754
191,245,2,19,0,0,1,1,0,67,2594,46,22,524
192,493,41,0,0,38,101,0,0,189,6609,45,19,1420
193,485,41,0,0,32,95,0,0,240,16615,40,19,1384
194,493,41,0,0,38,101,1,0,196,7132,45,25,1237
195,69,130,0,0,49,167,0,0,195,10063,45,18,533
196,283,41,0,0,38,177,0,0,173,5161,42,22,547
197,245,2,19,0,0,240,1,0,173,8027,46,14,573
198,392,41,0,0,1,13,1,0,205,236,45,20,247
199,526,41,0,0,15,167,1,0,8,11873,41,18,1242
200,245,2,0,0,15,240,1,0,181,14030,42,14,911
201,245,2,1,2,0,0,0,0,227,1892,46,15,481
202,289,109,0,0,31,60,0,0,165,37,45,17,1291
203,283,41,0,0,82,250,1,0,221,11796,46,24,70
204,169,125,0,5,4,222,1,0,211,11927,46,16,567
205,477,41,0,0,21,27,0,0,205,284,42,21,605
206,245,2,0,3,0,0,0,0,221,3337,46,21,223
207,327,120,0,6,0,0,0,0,222,12265,29,5,30
208,362,41,0,2,0,0,0,0,239,10088,45,15,1230
209,345,78,0,0,0,216,1,0,181,1629,40,14,1114
210,337,65,0,0,0,273,0,0,237,4287,44,15,1234
211,493,41,0,5,38,46,0,0,190,5756,46,23,15
212,188,41,0,2,15,187,0,0,190,4475,44,24,1215
213,245,2,0,0,0,1,1,0,214,16069,40,25,264
214,415,40,0,6,0,0,0,0,222,14806,45,23,863
215,32,94,0,0,20,40,0,0,211,13735,40,20,1260
216,245,2,14,0,0,240,1,0,230,6155,42,15,387
217,443,41,0,0,0,13,0,1,100,3608,41,25,543
218,172,31,0,5,25,279,1,0,173,14006,42,23,365
219,415,40,0,6,0,0,0,0,222,14671,41,19,14
220,419,79,0,0,70,211,0,0,203,4787,46,14,1385
221,327,120,0,0,16,279,0,1,218,7168,44,23,586
222,221,41,0,5,2,222,0,0,196,2223,45,14,81
223,415,40,0,6,0,0,0,0,222,14844,42,15,909
224,221,41,0,0,27,273,1,0,223,14184,45,20,373
225,493,41,0,5,27,46,0,0,182,5682,45,19,265
226,221,41,0,5,15,24,0,0,190,10851,40,22,1007
227,245,2,6,0,0,194,1,0,177,16448,41,14,305
228,392,41,0,0,78,12,0,0,262,16721,46,23,1212
229,221,41,0,5,16,267,0,0,190,5914,42,20,175
230,247,41,0,0,18,7,0,0,201,15214,42,15,744
231,477,41,0,0,45,55,1,0,232,3726,42,20,1080
232,245,2,16,0,0,0,1,1,190,15542,44,25,341
233,339,65,0,0,49,101,0,0,199,4297,44,14,531
234,415,40,0,5,1,79,0,0,239,8893,46,21,1005
235,173,62,0,0,2,244,0,0,203,7589,45,17,623
236,245,2,16,0,0,0,1,0,210,10009,41,16,884
237,339,147,0,0,6,269,0,0,211,8666,41,21,909
238,100,41,0,0,0,13,0,0,232,13601,40,25,19
239,327,120,0,6,0,112,1,0,180,12183,43,16,834
240,163,51,0,0,0,251,0,0,5,7646,41,21,1216
241,245,2,0,0,0,194,1,0,215,2632,44,25,445
242,327,120,0,0,16,234,1,0,153,5204,43,20,345
243,283,41,0,0,38,211,0,0,173,5596,43,19,373
244,392,41,0,0,78,283,0,1,238,17339,46,16,1236
245,446,77,0,2,0,0,0,0,266,2476,45,22,210
246,485,41,0,0,2,234,0,0,218,8173,40,20,700
247,392,41,0,0,11,12,1,1,20,530,44,25,250
248,521,41,0,0,21,268,0,0,2,13932,43,14,1160
249,116,130,0,0,38,183,0,1,122,5511,41,15,2
250,245,2,0,2,0,2,0,0,220,7111,42,19,276
251,346,41,0,0,10,224,1,1,215,13722,46,20,338
252,327,120,0,0,15,205,0,0,227,1489,40,18,1176
253,493,41,0,0,38,79,0,0,189,7901,45,21,395
254,283,41,0,0,38,177,0,0,208,4460,44,22,1035
255,392,41,0,0,15,281,1,1,243,16664,40,15,385
256,231,41,0,0,15,68,0,0,181,8086,43,25,579
257,253,41,0,0,0,228,0,0,190,1773,46,19,1210
258,240,29,0,5,1,35,0,0,218,2904,46,16,547
259,337,65,0,0,6,225,0,0,219,12155,46,25,62
260,493,41,0,0,38,79,0,0,186,7856,40,21,1057
261,392,41,0,0,78,57,0,0,210,1878,45,14,471
262,295,103,0,0,9,201,1,0,182,5665,41,15,477
263,493,41,0,5,38,46,0,0,186,5682,45,24,1306
264,213,41,1,0,27,90,0,0,210,10020,45,19,416
265,32,67,0,0,6,260,1,0,219,12639,43,23,794
266,192,41,0,5,22,244,0,0,221,12593,43,14,115
267,493,41,0,0,38,101,0,0,189,6506,45,15,1251
268,409,50,0,0,0,219,0,0,203,8825,44,24,122
269,526,41,0,0,15,199,1,0,21,2045,41,15,1114
270,345,78,0,0,0,216,1,0,181,1629,40,14,440
271,231,41,0,0,15,135,0,0,227,9424,44,22,1350
272,493,41,0,0,38,101,0,0,199,6776,44,25,534
273,245,2,0,0,1,251,1,0,203,12907,40,18,1421
274,192,41,0,5,18,268,1,0,226,16078,43,18,1046
275,361,41,0,0,39,250,0,0,231,8125,42,24,1362
276,493,41,0,0,38,101,0,0,195,6493,41,19,1104
277,245,2,16,0,0,112,1,0,133,4573,41,19,128
278,173,62,0,0,27,222,0,0,186,5595,45,17,1420
279,493,41,0,0,38,101,0,0,190,6568,44,19,1431
280,477,41,0,0,30,259,0,0,208,1064,40,15,797
281,245,2,1,2,0,0,0,0,209,8921,41,18,137
282,283,41,0,0,38,187,0,0,208,4687,41,14,1205
283,245,2,1,2,0,0,0,0,78,2970,46,17,228
284,311,41,0,0,11,38,1,0,121,13752,46,14,1260
285,221,41,0,6,0,0,1,0,252,17265,44,21,331
286,403,48,0,0,34,40,0,0,252,17696,46,18,1368
287,245,2,0,0,0,0,1,0,31,14757,40,17,490
288,221,41,0,0,82,158,1,0,232,3636,40,25,488
289,245,2,18,0,0,0,1,0,122,15384,46,21,780
290,447,41,0,2,19,225,0,0,244,9441,45,20,78
291,345,78,0,0,0,216,1,0,181,1629,40,14,1066
292,32,94,0,0,60,20,0,0,182,12691,46,17,18
293,219,41,0,5,1,90,0,0,145,3390,40,18,768
294,245,2,0,0,15,112,1,0,181,8727,40,19,219
295,80,67,0,5,12,234,0,0,117,10987,46,24,579
296,392,41,0,0,78,14,0,1,229,17271,46,25,47
297,140,138,0,0,47,276,0,0,145,13679,41,25,370
298,346,41,0,0,18,248,0,1,205,14669,43,17,991
299,32,94,0,0,60,22,0,0,182,12684,45,21,12
300,446,77,0,2,0,0,0,0,245,2231,44,21,1285
301,487,41,0,0,6,225,0,0,208,13995,45,18,293
302,392,41,0,0,0,46,1,0,195,11753,40,22,1335
303,241,130,0,0,38,46,1,0,234,9677,40,23,1265
304,485,41,0,0,34,139,0,0,37,424,40,24,145
305,131,98,0,0,27,35,0,1,212,4624,40,18,576
306,245,2,1,0,0,0,1,0,145,5882,40,14,677
307,348,41,0,2,15,208,0,0,186,16601,41,25,615
308,392,41,0,0,78,57,0,1,209,2104,41,25,1374
309,32,67,0,0,12,104,1,0,268,15761,45,16,84
310,392,41,0,0,6,16,0,1,30,759,43,19,1153
311,337,65,0,0,6,223,0,0,226,12043,42,22,1090
312,521,41,0,0,25,26,1,1,248,17238,43,21,243
313,245,2,14,0,0,1,0,0,56,10758,40,19,137
314,245,2,0,0,0,101,1,0,195,1934,44,21,388
315,392,41,0,0,2,5,1,0,4,16746,40,14,564
316,406,121,0,0,6,272,0,1,177,11049,45,23,1298
317,327,120,1,2,0,0,0,0,133,1994,43,22,340
318,348,41,0,2,1,210,0,0,186,16380,44,19,790
319,55,41,0,5,78,113,1,0,199,3811,43,17,1342
320,255,135,0,5,12,210,0,0,230,5255,40,24,1153
321,304,41,0,0,38,191,0,0,138,5194,46,15,419
322,32,94,0,2,0,0,0,0,212,10088,46,22,41
323,169,125,0,5,70,195,0,0,195,9014,40,17,841
324,370,41,0,0,0,2,0,1,219,11133,44,24,390
325,245,2,0,0,0,240,1,0,122,6395,40,24,1409
326,32,94,0,2,0,0,0,0,212,10088,46,16,24
327,245,2,1,3,0,0,0,0,23,3788,40,25,602
328,229,41,0,0,1,2,0,0,170,11436,45,18,418
329,69,130,0,0,49,124,0,0,246,9887,45,15,521
330,345,78,0,0,0,216,1,0,181,1629,40,14,1116
331,32,94,0,0,24,60,0,0,196,14432,43,20,771
332,344,92,0,0,0,2,1,0,220,2733,46,23,1413
333,517,130,0,0,60,201,0,0,208,11096,42,16,70
334,493,41,0,0,38,101,0,0,195,6815,44,19,446
335,245,2,18,0,1,194,1,0,211,11392,40,20,446
336,419,79,0,0,82,224,0,0,216,6232,46,23,183
337,245,2,16,0,0,0,1,0,153,8895,43,18,671
338,100,41,0,0,0,13,0,0,199,14834,45,21,955
339,221,41,1,0,38,24,0,0,180,13484,46,19,461
340,221,41,14,0,38,24,0,0,203,13718,46,15,313
341,383,41,0,0,71,138,0,0,189,298,42,16,1349
342,295,73,0,2,0,0,0,0,56,10088,44,20,1206
343,339,147,0,0,6,244,0,0,190,7275,41,17,682
344,245,2,1,0,0,1,0,0,210,7868,40,24,261
345,32,94,0,0,21,52,0,0,205,14899,42,25,12
346,245,2,17,0,1,194,1,1,153,13161,45,22,197
347,283,41,0,0,49,191,1,0,181,5970,44,14,205
348,245,2,0,0,0,216,1,0,268,5431,41,22,490
349,521,41,0,0,25,21,0,1,219,17375,43,21,406
350,187,41,0,6,0,1,0,0,177,9818,43,17,1054
351,245,2,0,2,0,112,0,0,210,5091,46,18,636
352,419,79,0,0,6,231,0,0,205,9672,45,16,198
353,392,41,0,0,2,10,0,0,266,18354,42,14,753
354,245,2,0,0,1,1,1,0,199,7539,46,21,1408
355,493,41,0,0,38,101,0,0,190,6879,45,25,516
356,245,2,0,2,0,0,0,0,236,4831,46,18,578
357,477,41,0,0,28,89,1,0,255,3272,42,20,676
358,477,41,0,0,70,199,1,0,5,8339,40,25,1144
359,300,156,0,0,6,222,0,0,203,1741,43,16,904
360,306,72,0,0,6,258,0,0,100,16030,41,19,627
361,392,41,0,0,15,46,0,0,22,2099,46,25,1267
362,392,41,0,0,2,12,1,0,2,17342,45,19,1348
363,283,41,0,0,20,267,0,1,229,4101,46,19,241
364,245,2,14,2,0,13,1,0,201,5460,41,20,783
365,245,2,1,0,0,0,1,0,138,2839,40,20,513
366,485,41,0,0,60,233,0,1,215,9412,46,22,1387
367,245,2,0,0,0,208,1,0,201,3051,46,25,345
368,353,41,0,2,1,0,0,0,196,7933,46,15,130
369,245,2,16,0,0,0,1,0,165,11060,43,19,884
370,245,2,19,2,0,240,1,0,173,1812,44,21,544
371,295,103,0,0,38,167,0,0,199,17066,40,23,553
372,485,41,0,0,4,205,0,0,222,3195,45,17,333
373,521,41,0,0,12,244,0,0,227,13048,42,20,647
374,447,41,0,5,49,135,0,0,177,264,44,24,420
375,311,41,0,0,60,212,0,0,67,7527,46,17,97
376,32,94,0,2,0,0,0,0,199,10088,40,20,21
377,392,41,0,0,11,15,1,1,205,19,43,23,735
378,221,41,0,5,38,113,0,0,190,14635,45,14,1086
379,231,41,0,0,1,13,0,0,189,9100,44,25,467
380,477,41,0,0,11,255,1,1,46,1090,40,25,365
381,221,41,0,5,15,24,0,0,190,10977,43,17,11
382,245,2,0,0,0,251,1,0,189,11256,44,25,800
383,392,41,0,0,8,19,1,1,210,533,44,21,153
384,392,41,0,0,78,57,0,0,232,2367,44,21,585
385,399,94,0,0,70,167,0,0,201,14798,40,14,1399
386,473,94,0,0,18,241,1,0,205,5235,42,22,480
387,50,41,0,5,60,24,0,0,199,16683,28,3,0
388,337,65,0,0,12,237,0,0,27,13250,40,21,51
389,283,41,0,0,70,101,0,0,161,4584,40,22,884
390,221,41,0,5,78,211,0,0,190,1015,42,22,87
391,342,136,0,0,70,217,0,0,222,9723,45,19,1356
392,32,94,0,0,29,182,1,0,173,1419,42,19,769
393,283,41,0,0,49,191,0,0,173,5238,42,19,1366
394,414,78,0,5,28,243,0,0,2,9833,40,25,576
395,392,41,0,0,1,46,1,0,182,11773,41,15,869
396,228,41,0,0,82,205,1,0,217,5714,46,22,1411
397,327,120,0,0,0,112,0,0,244,1069,42,23,1119
398,245,2,16,0,0,112,1,0,182,7107,40,23,184
399,383,41,0,0,72,145,1,0,234,422,42,21,1249
400,469,41,0,5,1,216,1,0,165,8152,28,4,0
401,283,41,0,0,70,177,0,0,206,4646,45,14,906
402,254,41,0,5,4,49,0,1,243,13655,45,16,1323
403,245,2,19,0,0,0,1,0,133,582,40,14,352
404,289,109,0,0,31,60,0,0,165,43,41,24,1063
405,521,41,0,0,18,259,0,0,266,15038,46,21,700
406,477,41,0,0,9,223,0,0,232,15394,40,24,595
407,521,41,0,0,11,248,1,0,262,13236,42,14,486
408,392,41,0,0,9,6,1,0,25,174,42,20,1177
409,32,94,0,0,49,224,0,0,199,5337,41,15,139
410,221,41,0,5,13,258,0,0,190,5883,40,19,316
411,327,120,0,0,15,205,0,0,227,1301,44,16,733
412,221,41,0,0,29,41,0,0,222,1969,44,21,827
413,370,41,0,0,0,90,0,1,219,3092,41,15,440
414,339,147,0,0,6,271,0,1,211,9282,41,14,1321
415,327,120,0,5,0,57,0,0,217,3140,45,20,528
416,32,94,0,0,26,86,0,0,216,15981,40,18,300
417,221,41,0,5,15,24,0,0,195,10844,45,16,1231
418,274,130,0,0,15,158,0,0,138,2462,43,20,1130
419,192,41,0,5,34,267,0,0,196,12996,43,15,108
420,245,2,1,3,0,0,0,0,232,2546,40,23,568
421,228,41,0,0,27,46,1,0,199,6802,44,25,1302
422,241,130,0,0,27,79,1,1,226,13066,46,20,1416
423,217,41,0,0,0,0,1,0,247,2604,40,23,617
424,245,2,0,0,0,216,1,0,207,7974,45,23,285
425,493,41,0,0,38,113,0,0,190,8020,41,19,203
426,443,41,0,0,0,57,0,1,186,17710,46,14,1390
427,392,41,0,0,10,23,0,1,216,1118,40,22,267
428,477,41,0,0,20,278,0,0,205,17944,42,21,1143
429,245,2,0,2,15,24,1,0,218,13976,42,23,626
430,292,41,0,0,78,212,0,0,173,2853,43,14,913
431,463,107,0,0,11,199,1,0,201,3743,44,17,1276
432,213,41,1,0,27,90,0,0,211,9840,45,19,458
433,245,2,1,0,0,0,1,0,180,5385,45,22,1007
434,245,2,0,2,0,0,1,0,251,13999,44,21,451
435,311,41,0,0,23,95,1,0,42,16439,42,17,1245
436,245,2,0,0,27,158,1,1,221,3325,43,19,460
437,485,41,0,0,32,123,1,0,195,18572,40,22,131
438,283,41,0,0,12,278,0,0,229,18241,46,24,69
439,221,41,0,0,27,262,0,0,211,6930,40,19,164
440,221,41,0,5,15,24,0,0,201,11135,44,16,15
441,493,41,0,0,27,79,0,0,186,7883,40,21,1368
442,245,2,14,0,60,90,1,1,254,4127,46,23,396
443,283,41,0,0,70,135,1,0,161,9547,41,20,300
444,493,41,0,0,38,101,0,0,189,6606,44,19,521
445,32,94,0,0,6,5,0,0,239,11589,46,19,1426
446,283,41,0,0,60,187,0,0,190,6402,42,23,318
447,245,2,14,0,15,2,1,0,217,3986,45,22,54
448,414,78,0,5,27,79,1,1,224,3916,45,20,795
449,277,94,0,5,0,226,1,0,249,11385,45,15,1341
450,450,41,0,0,38,24,0,0,226,6347,41,19,915
451,245,2,0,6,0,1,1,0,89,7994,41,22,1387
452,245,2,1,0,0,0,1,0,122,7667,45,23,1416
453,485,41,0,0,26,110,1,1,117,17956,40,16,1378
454,493,41,0,0,38,79,0,0,189,7957,46,15,1187
455,485,41,0,0,82,234,0,0,216,10159,46,21,300
456,32,94,0,0,60,19,0,0,181,12601,45,21,7
457,245,2,0,0,49,35,0,0,224,13698,44,23,570
458,77,41,0,0,78,215,0,0,260,3623,41,24,337
459,477,41,0,0,60,213,0,0,210,14188,41,22,582
460,493,41,0,0,38,101,0,0,195,6859,45,23,490
461,453,61,0,5,0,1,1,0,231,3192,40,14,1170
462,245,2,0,0,0,101,1,0,195,3247,46,18,542
463,245,2,1,0,0,0,1,0,138,6889,46,18,1389
464,339,65,0,0,4,208,0,0,199,11126,43,20,840
465,32,94,0,0,8,238,0,0,203,11497,42,25,245
466,383,41,0,0,61,108,1,0,205,17583,42,25,1277
467,383,41,0,0,26,14,1,0,205,18334,42,22,1225
468,32,94,0,2,0,0,0,0,177,10088,44,23,18
469,338,83,0,0,82,275,0,0,36,9474,45,18,936
470,493,41,0,0,38,101,1,0,196,6953,43,25,1214
471,283,41,0,0,11,249,0,0,255,15033,46,19,603
472,493,41,0,5,38,46,0,0,190,5857,43,24,1341
473,493,41,0,0,38,101,0,0,195,6612,41,23,527
474,80,67,0,0,0,0,0,0,267,10249,41,19,527
