Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,day,month,hour
66,coursera,org,0,multipart/alternative,4,39,1,1,44,29312,0,Mon,Jul,0.18333333333333332
67,iiitd,ac.in,2,multipart/related,0,0,0,0,21,11228,2,Fri,Apr,12.933333333333334
68,iiitd,ac.in,1,multipart/mixed,0,48,0,0,19,2784903,2,Sun,Oct,14.116666666666667
69,iiitd,ac.in,0,multipart/alternative,0,1,1,0,39,2670,2,Wed,Jan,2.05
70,linkedin,com,0,multipart/alternative,9,41,0,1,113,41323,1,Wed,May,1.0166666666666666
71,flipkartletters,com,0,text/html,39,91,1,0,88,65307,3,Thu,Jul,1.0333333333333334
72,codalab,org,0,multipart/alternative,1,9,0,0,50,5501,0,Tue,Jul,1.9166666666666665
73,iiitd,ac.in,2,multipart/alternative,0,0,1,0,35,2433,2,Thu,Jul,14.116666666666667
74,usebackpack,com,0,multipart/alternative,4,17,0,0,35,30288,0,Mon,Aug,6.583333333333333
75,google,com,0,text/html,20,84,0,0,36,24461,0,Tue,Jun,1.8666666666666667
76,mail,kotak.in,0,multipart/alternative,0,10,1,0,42,3650,3,Sat,Nov,21.55
77,news,foodpanda.in,0,multipart/alternative,17,56,0,0,76,58243,3,Mon,Feb,7.533333333333333
78,iiitd,ac.in,4,multipart/alternative,0,0,1,0,39,3372,2,Tue,Dec,12.466666666666667
79,iiitd,ac.in,4,multipart/alternative,0,9,1,0,49,7191,2,Fri,Jul,18.066666666666666
80,edx,org,0,multipart/alternative,11,35,0,0,99,32897,3,Fri,Aug,15.733333333333333
81,google,com,0,text/plain,0,0,1,0,91,1146,0,Mon,May,13.0
82,usebackpack,com,0,multipart/alternative,4,19,0,0,38,27097,0,Tue,Oct,14.233333333333333
83,bigbasket,in,0,text/html,10,26,0,0,37,14881,3,Thu,Feb,17.783333333333335
84,iiitd,ac.in,0,multipart/alternative,0,3,1,1,31,9011,2,Thu,Apr,14.1
85,na,na,0,text/html,0,1,1,0,44,1434,0,,Apr,21.35
86,linkedin,com,0,multipart/alternative,4,26,0,1,29,23182,1,Mon,Jun,9.566666666666666
87,na,na,0,text/plain,0,0,0,0,57,674,0,,Jun,7.766666666666667
88,na,na,0,text/html,5,26,0,1,19,6975,0,Tue,Jun,23.033333333333335
89,iiitd,ac.in,0,multipart/alternative,0,3,1,0,52,1937,2,Tue,Jun,17.616666666666667
90,linkedin,com,0,multipart/alternative,4,26,0,0,45,20258,1,Wed,Jun,9.85
91,signalprocessingsociety,org,0,multipart/alternative,10,60,0,0,133,86802,3,Thu,Jun,12.066666666666666
92,mail,instagram.com,0,text/html,4,29,0,0,47,18514,1,Sat,Jan,22.6
93,iiitd,ac.in,0,multipart/alternative,0,2,1,0,39,7894,2,Sat,May,23.866666666666667
94,iiitd,ac.in,0,multipart/alternative,1,3,1,0,37,3145,2,Wed,Nov,11.883333333333333
95,quora,com,0,multipart/alternative,8,95,0,0,114,82866,1,Thu,Oct,7.333333333333333
96,crowdai,org,0,multipart/alternative,4,25,0,0,99,45326,0,Mon,Jul,14.9
97,e,linkedin.com,0,multipart/mixed,0,0,0,0,26,4,1,Wed,Mar,19.033333333333335
98,na,na,0,text/plain,0,0,0,0,57,529,0,,Mar,19.883333333333333
99,centralesupelec,fr,0,multipart/mixed,0,12,1,0,117,4447447,2,Mon,Dec,13.9
100,e-mail,microsoft.com,0,multipart/alternative,21,163,1,1,42,147500,0,Thu,Jun,17.383333333333333
101,change,org,0,multipart/alternative,4,41,1,1,16,59172,0,Tue,May,1.9166666666666665
102,amazon,in,0,multipart/mixed,0,0,0,0,34,4,3,Sun,Jan,0.38333333333333336
103,amazon,in,0,multipart/mixed,0,0,0,0,42,4,3,Thu,Jun,14.266666666666667
104,send,grammarly.com,0,multipart/alternative,38,146,0,0,48,124047,3,Tue,Dec,15.516666666666667
105,centralesupelec,fr,0,text/html,5,21,1,0,104,32684,2,Mon,Dec,15.416666666666666
106,usebackpack,com,0,multipart/alternative,4,19,0,0,37,28170,0,Fri,Jul,0.31666666666666665
107,slack,com,0,multipart/alternative,3,19,0,0,38,17550,0,Tue,May,0.26666666666666666
108,insideapple,apple.com,0,multipart/alternative,23,62,0,0,63,43508,3,Mon,Oct,23.75
109,na,na,1,multipart/alternative,0,3,0,0,27,6191,0,Sun,Dec,0.15
110,na,na,0,na,0,3,1,0,162,4137,0,Mon,Mar,0.11666666666666667
111,cleartrip,com,0,multipart/alternative,14,46,1,0,36,38695,3,Tue,Apr,10.733333333333333
112,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,10.166666666666666
113,academia-mail,com,0,multipart/alternative,4,19,0,0,33,36541,1,Fri,Dec,17.566666666666666
114,clubvistara,com,0,multipart/alternative,11,41,1,0,67,20065,3,Wed,Dec,17.3
115,na,na,0,text/plain,0,0,0,0,57,492,0,,Dec,2.6833333333333336
116,reply,ebay.in,0,multipart/alternative,33,134,0,0,53,83268,3,Sat,Dec,9.533333333333333
117,flipkartletters,com,0,text/html,17,47,0,0,55,32589,3,Thu,Aug,5.683333333333334
118,na,na,0,multipart/mixed,0,0,1,0,26,6983600,0,Wed,Sep,9.766666666666667
119,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,10.266666666666667
120,centralesupelec,fr,0,multipart/related,0,5,0,0,115,16582,2,Fri,Mar,10.3
121,github,com,0,text/plain,0,1,0,0,65,377,0,Mon,Oct,19.466666666666665
122,brilliant,org,0,multipart/alternative,5,27,0,0,43,42522,3,Tue,Jan,16.85
123,github,com,1,multipart/alternative,3,18,0,0,73,3979,2,Tue,Jun,8.9
124,hackerrankmail,com,0,multipart/alternative,4,27,0,0,37,29951,0,Mon,May,15.583333333333334
125,accounts,google.com,0,multipart/related,0,0,0,0,28,19868,0,Mon,May,2.7666666666666666
126,iiitd,ac.in,1,multipart/alternative,0,13,1,0,17,7081,2,Thu,May,12.216666666666667
127,usebackpack,com,0,text/html,4,14,0,0,37,24828,0,Sat,Apr,12.3
128,mail,goodreads.com,0,multipart/alternative,50,241,1,0,38,110200,1,Fri,Oct,2.3166666666666664
129,iiitd,ac.in,1,multipart/alternative,0,8,1,0,24,11795,2,Sat,Jul,18.1
130,youtube,com,0,multipart/alternative,12,51,0,0,81,44516,1,Sun,Feb,16.766666666666666
131,linkedin,com,0,multipart/alternative,16,68,0,1,84,71108,1,Mon,Jul,21.483333333333334
132,quora,com,0,multipart/alternative,2,121,1,1,39,95273,1,Sat,Aug,15.333333333333334
133,iiitd,ac.in,0,multipart/alternative,0,3,0,0,6,366,2,Tue,Aug,16.533333333333335
134,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,10.166666666666666
135,google,com,0,text/html,8,36,0,0,32,11034,0,Tue,May,8.683333333333334
136,piazza,com,0,multipart/alternative,0,8,0,1,30,2418,0,Mon,Aug,11.316666666666666
137,na,na,0,text/plain,0,0,0,0,57,524,0,,Aug,19.133333333333333
138,m,mail.coursera.org,0,multipart/alternative,31,119,1,0,28,87449,3,Thu,Mar,9.5
139,google,com,0,text/html,20,84,0,0,40,25332,0,Sat,Jun,4.5
140,crowdai,org,0,multipart/alternative,5,42,1,0,146,59000,0,Wed,Jul,7.5
141,twitter,com,0,multipart/alternative,20,129,0,0,87,72403,1,Tue,May,9.466666666666667
142,youtube,com,0,multipart/alternative,38,115,0,0,79,78727,1,Thu,Oct,20.166666666666668
143,twitter,com,0,multipart/alternative,9,54,0,1,70,35879,1,Fri,Sep,10.683333333333334
144,amazon,com,0,multipart/alternative,1,45,0,1,47,30447,0,Mon,Mar,7.766666666666667
145,iiitd,ac.in,2,multipart/mixed,2,0,0,0,37,670871,2,Fri,Sep,10.866666666666667
146,thefork,com,0,multipart/alternative,7,17,1,0,99,21777,0,Sun,Mar,17.7
147,amazon,in,0,multipart/alternative,30,253,0,0,15,116395,3,Fri,Oct,0.21666666666666667
148,amazon,in,0,multipart/alternative,20,177,0,0,103,88677,3,Tue,May,0.08333333333333333
149,mail,instagram.com,0,text/html,21,89,0,1,69,54396,1,Sun,Jul,14.033333333333333
150,redwolf,in,0,multipart/alternative,5,22,0,0,48,5119,3,Thu,Sep,8.283333333333333
151,youtube,com,0,multipart/alternative,20,83,1,0,75,75546,1,Sat,Oct,14.833333333333334
152,iiitd,ac.in,0,multipart/alternative,0,3,1,0,111,8687,2,Wed,Nov,14.166666666666666
153,amazon,in,0,multipart/alternative,30,250,1,0,11,113728,3,Thu,Sep,0.15
154,linkedin,com,0,multipart/alternative,7,21,1,0,45,30112,1,Tue,Jun,9.916666666666666
155,facebookmail,com,0,multipart/alternative,4,16,0,0,33,11400,1,Sun,Aug,7.65
156,google,com,0,text/html,2,12,0,0,37,4438,0,Thu,May,5.083333333333333
157,academia-mail,com,0,multipart/alternative,1,13,1,0,154,38961,0,Fri,Feb,12.433333333333334
158,olacabs,com,0,multipart/mixed,1,35,0,0,34,80457,0,Sun,Jul,17.516666666666666
159,na,na,0,multipart/alternative,9,61,0,0,61,24734,0,Thu,Mar,9.666666666666666
160,linkedin,com,0,multipart/alternative,9,49,0,0,57,42559,0,Thu,Feb,3.0833333333333335
161,iiitd,ac.in,3,multipart/alternative,0,0,1,1,36,2383,2,Mon,Nov,12.75
162,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27440,0,Fri,Jan,11.116666666666667
163,amazon,in,0,multipart/alternative,2,74,1,0,55,29109,0,Thu,Oct,19.3
164,iiitd,ac.in,2,multipart/alternative,0,1,0,0,30,4682,2,Tue,Jul,13.466666666666667
165,iiitd,ac.in,0,multipart/alternative,0,6,1,0,76,9713,2,Wed,Nov,18.083333333333332
166,mentor,com,0,multipart/alternative,0,11,1,0,42,3751,3,Fri,Jun,6.5
167,iiitd,ac.in,2,multipart/alternative,0,2,1,0,33,1958,2,Thu,Jun,11.033333333333333
168,redwolf,in,0,multipart/alternative,8,27,0,0,51,6144,3,Thu,Dec,10.633333333333333
169,amazon,in,0,multipart/alternative,2,74,1,0,55,28231,0,Sat,Dec,17.133333333333333
170,twitter,com,0,multipart/alternative,26,121,0,0,45,61905,1,Tue,Aug,17.283333333333335
171,quora,com,0,multipart/alternative,16,73,0,1,119,51464,3,Thu,Sep,15.766666666666667
172,amazon,in,0,multipart/alternative,25,146,0,0,44,67366,3,Sat,Aug,6.716666666666667
173,dropboxmail,com,1,multipart/alternative,4,19,0,0,54,9552,0,Mon,Jul,16.816666666666666
174,iiitd,ac.in,0,multipart/alternative,0,3,1,0,46,2809,2,Fri,Mar,22.416666666666668
175,google,com,0,text/html,4,20,0,0,46,6683,0,Sat,May,1.45
176,edx,org,0,multipart/alternative,12,42,0,0,68,43941,3,Sun,Oct,10.7
177,iiitd,ac.in,3,multipart/alternative,3,3,1,0,37,7558,2,Fri,Dec,14.933333333333334
178,github,com,0,multipart/alternative,5,26,1,1,118,23430,0,Wed,Aug,18.216666666666665
179,kotak,in,0,text/html,0,17,1,1,62,8971,0,Mon,Jul,10.0
180,iiitd,ac.in,6,multipart/alternative,1,4,1,0,0,6137,2,Wed,Jul,14.266666666666667
181,send,grammarly.com,0,multipart/alternative,32,128,0,0,37,105741,3,Mon,Nov,16.083333333333332
182,interviewbit,com,0,multipart/alternative,0,11,0,0,100,3122,0,Mon,Jul,17.133333333333333
183,newsletter,speakingtree.in,0,multipart/alternative,12,64,0,0,16,26461,3,Sun,Mar,7.766666666666667
184,slack,com,0,multipart/alternative,4,32,0,0,116,16610,0,Sun,Aug,10.883333333333333
185,coursera,org,0,multipart/alternative,14,88,0,0,27,56366,0,Mon,Jan,14.7
186,youtube,com,0,multipart/alternative,28,111,1,0,97,88664,1,Tue,Mar,21.916666666666668
187,academia-mail,com,0,multipart/alternative,2,14,1,0,79,40085,0,Mon,Mar,14.483333333333333
188,iiitd,ac.in,0,multipart/alternative,2,8,1,0,38,3207,2,Fri,Jun,12.533333333333333
189,twitter,com,0,multipart/alternative,21,63,0,0,45,31382,3,Mon,Oct,10.4
190,amazon,in,0,multipart/alternative,8,97,0,0,44,39780,3,Sun,Jun,2.5666666666666664
191,iiitd,ac.in,6,multipart/alternative,0,1,1,0,16,1472,2,Wed,May,16.733333333333334
192,usebackpack,com,0,multipart/alternative,4,19,0,0,35,26977,0,Tue,Jul,9.666666666666666
193,twitter,com,0,multipart/alternative,34,184,0,0,73,82043,1,Fri,Jul,9.066666666666666
194,usebackpack,com,0,multipart/alternative,4,19,1,0,38,27714,0,Tue,Sep,6.616666666666667
195,brilliant,org,0,multipart/alternative,5,25,0,0,37,39906,0,Tue,Jan,16.883333333333333
196,linkedin,com,0,multipart/alternative,4,26,0,0,29,22718,1,Sat,May,17.116666666666667
197,iiitd,ac.in,6,multipart/alternative,0,6,1,0,29,30479,2,Wed,Apr,17.55
198,quora,com,0,multipart/alternative,1,11,1,0,42,10228,1,Tue,Jun,12.116666666666667
199,zoomgroup,com,0,multipart/alternative,2,25,1,0,106,49337,0,Mon,Jan,6.7
200,iiitd,ac.in,0,multipart/alternative,2,6,1,0,32,6356,2,Sat,Apr,22.183333333333334
201,iiitd,ac.in,1,multipart/mixed,0,0,0,0,61,127215,2,Wed,Aug,16.016666666666666
202,m,mail.coursera.org,0,multipart/alternative,33,152,0,0,27,100279,0,Tue,Feb,7.516666666666667
203,linkedin,com,0,multipart/alternative,9,69,1,0,56,48852,1,Wed,Oct,1.1666666666666667
204,email,nvidia.com,0,text/html,11,44,1,0,48,49717,3,Wed,Dec,17.45
205,topcoder,com,0,multipart/alternative,24,122,0,0,42,102794,3,Sat,Mar,18.083333333333332
206,iiitd,ac.in,0,multipart/related,0,0,0,0,56,168635,2,Wed,Mar,11.716666666666667
207,na,na,0,text/plain,0,0,0,0,57,516,0,,Mar,13.266666666666667
208,paytmemail,com,0,multipart/mixed,0,0,0,0,72,4,3,Tue,Aug,6.5
209,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,4.566666666666666
210,news,foodpanda.in,0,multipart/alternative,0,9,0,0,70,1998,0,Thu,Aug,6.566666666666666
211,usebackpack,com,0,text/html,4,14,0,0,36,24732,0,Wed,Nov,0.25
212,fedex,com,0,multipart/mixed,2,28,0,0,36,20558,0,Thu,Oct,6.25
213,iiitd,ac.in,0,multipart/alternative,0,1,1,0,5,783,2,Fri,Sep,12.4
214,sbi,co.in,0,text/plain,0,0,0,0,57,687,0,Tue,Nov,21.383333333333333
215,amazon,in,0,multipart/alternative,23,134,0,0,48,61677,3,Fri,Jun,7.0
216,iiitd,ac.in,2,multipart/alternative,0,6,1,0,64,25630,2,Sat,Aug,14.45
217,springboard,com,0,multipart/alternative,0,11,0,1,19,17646,3,Mon,Sep,17.05
218,emailer,cardekho.com,0,text/html,28,95,1,0,29,63364,3,Sat,Nov,14.083333333333334
219,sbi,co.in,0,text/plain,0,0,0,0,57,678,0,Mon,Jul,0.23333333333333334
220,send,grammarly.com,0,multipart/alternative,7,36,0,0,41,21458,3,Wed,Apr,9.083333333333334
221,na,na,0,multipart/alternative,20,95,0,1,53,27807,0,Thu,Nov,17.766666666666666
222,google,com,0,text/html,10,44,0,0,38,13593,0,Tue,Apr,1.35
223,sbi,co.in,0,text/plain,0,0,0,0,57,690,0,Sat,Aug,22.15
224,google,com,0,multipart/alternative,3,9,1,0,58,6469,0,Tue,Jun,14.216666666666667
225,usebackpack,com,0,text/html,3,14,0,0,33,24657,0,Tue,Jul,12.416666666666666
226,google,com,0,text/html,2,12,0,0,36,4356,0,Fri,May,23.783333333333335
227,iiitd,ac.in,14,multipart/alternative,0,3,1,0,30,8094,2,Mon,Apr,13.083333333333334
228,quora,com,0,multipart/alternative,8,109,0,0,93,82779,1,Wed,Nov,6.2
229,google,com,0,text/html,20,84,0,0,36,24958,0,Sat,Jun,10.916666666666666
230,imdb,com,0,multipart/alternative,21,104,0,0,40,71280,3,Sat,Aug,2.4
231,topcoder,com,0,multipart/alternative,46,148,1,0,66,179691,3,Sat,Jun,4.0
232,iiitd,ac.in,3,multipart/alternative,0,0,1,1,36,7389,2,Thu,Sep,13.683333333333334
233,newsletter,foodpanda.in,0,multipart/alternative,5,19,0,0,39,20026,0,Thu,Apr,16.85
234,sbi,co.in,0,text/html,1,17,0,0,72,3429,0,Wed,Mar,23.75
235,emails,evernote.com,0,multipart/alternative,10,63,0,0,41,29163,0,Tue,Feb,18.383333333333333
236,iiitd,ac.in,3,multipart/alternative,0,0,1,0,47,3968,2,Mon,Dec,21.733333333333334
237,newsletter,speakingtree.in,0,multipart/alternative,12,86,0,0,48,33207,3,Mon,Mar,22.15
238,codecademy,com,0,multipart/alternative,0,11,0,0,66,6085,0,Fri,Sep,0.31666666666666665
239,na,na,0,text/plain,0,2,1,0,31,511,0,Sun,Dec,20.9
240,edm,efinmail.com,0,multipart/alternative,0,7,0,0,103,2942,0,Mon,Mar,6.266666666666667
241,iiitd,ac.in,0,multipart/alternative,0,3,1,0,50,1485,2,Thu,Sep,15.416666666666666
242,na,na,0,multipart/alternative,20,55,1,0,25,22824,0,Sun,Jun,13.75
243,linkedin,com,0,multipart/alternative,4,36,0,0,29,24497,1,Sun,Jul,14.216666666666667
244,quora,com,0,multipart/alternative,8,99,0,1,71,87370,1,Wed,Dec,6.6
245,state,gov,0,multipart/mixed,0,0,0,0,97,143154,0,Tue,May,11.5
246,twitter,com,0,multipart/alternative,10,55,0,0,53,31025,1,Fri,Jun,19.666666666666668
247,quora,com,0,multipart/alternative,16,109,1,1,117,105036,1,Thu,Sep,12.166666666666666
248,youtube,com,0,multipart/alternative,24,85,0,0,100,62968,1,Sun,Apr,5.333333333333333
249,coursera,org,0,multipart/alternative,4,27,0,1,21,24251,0,Mon,Aug,0.03333333333333333
250,iiitd,ac.in,0,multipart/mixed,0,10,0,0,55,2766956,2,Sat,Jul,12.6
251,nvidia,com,0,multipart/alternative,15,46,1,1,50,61588,0,Wed,Jun,13.633333333333333
252,na,na,0,multipart/alternative,2,33,0,0,61,11860,0,Fri,Jan,5.6
253,usebackpack,com,0,multipart/alternative,4,17,0,0,35,30046,0,Tue,Mar,14.583333333333334
254,linkedin,com,0,multipart/alternative,4,26,0,0,45,20516,1,Thu,May,3.25
255,quora,com,0,multipart/alternative,2,97,1,1,76,82386,1,Fri,Aug,14.416666666666666
256,hackerrankmail,com,0,multipart/alternative,2,16,0,0,32,30725,0,Sun,Sep,17.65
257,indeed,com,0,multipart/alternative,0,5,0,0,36,1242,0,Wed,Jul,6.166666666666667
258,idf,caisse-epargne.fr,0,text/html,1,13,0,0,53,15629,0,Wed,Dec,17.116666666666667
259,news,foodpanda.in,0,multipart/alternative,12,47,0,0,54,50901,3,Wed,Sep,1.0333333333333334
260,usebackpack,com,0,multipart/alternative,4,17,0,0,34,29941,0,Fri,Mar,3.6166666666666667
261,quora,com,0,multipart/alternative,8,15,0,0,47,12698,0,Tue,Apr,15.85
262,mail,kotak.in,0,multipart/alternative,14,32,1,0,33,24630,0,Mon,Aug,15.95
263,usebackpack,com,0,text/html,4,14,0,0,34,24657,0,Tue,Oct,7.766666666666667
264,github,com,1,multipart/alternative,3,18,0,0,47,3971,2,Tue,Jul,14.933333333333334
265,amazon,fr,0,multipart/alternative,12,78,1,0,54,54196,0,Sun,Nov,20.233333333333334
266,flipkartletters,com,0,text/html,25,63,0,0,56,53878,3,Sun,Apr,1.9166666666666665
267,usebackpack,com,0,multipart/alternative,4,19,0,0,35,26875,0,Tue,Aug,6.85
268,rit,edu,0,multipart/alternative,0,41,0,0,41,33994,0,Thu,Oct,10.033333333333333
269,zoomgroup,com,0,multipart/alternative,2,31,1,0,118,13123,0,Mon,Aug,4.566666666666666
270,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.333333333333334
271,hackerrankmail,com,0,multipart/alternative,2,22,0,0,61,36727,0,Thu,May,8.5
272,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27141,0,Thu,Sep,16.9
273,iiitd,ac.in,0,multipart/alternative,1,7,1,0,41,5578,2,Fri,Jan,9.683333333333334
274,flipkartletters,com,0,text/html,21,85,1,0,60,78393,3,Sun,Jan,3.4333333333333336
275,paytm,com,0,multipart/alternative,40,69,0,0,65,30869,0,Sat,Oct,8.7
276,usebackpack,com,0,multipart/alternative,4,19,0,0,37,26863,0,Mon,Jul,4.4
277,iiitd,ac.in,3,multipart/alternative,0,2,1,0,22,20843,2,Mon,Jul,10.133333333333333
278,emails,evernote.com,0,multipart/alternative,3,44,0,0,34,24494,0,Tue,Feb,9.666666666666666
279,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26939,0,Thu,Jul,9.85
280,topcoder,com,0,multipart/alternative,32,77,0,0,45,112011,0,Fri,Aug,20.283333333333335
281,iiitd,ac.in,1,multipart/mixed,0,0,0,0,46,344528,2,Mon,Jan,10.283333333333333
282,linkedin,com,0,multipart/alternative,4,28,0,0,45,21153,1,Mon,Apr,6.083333333333333
283,iiitd,ac.in,1,multipart/mixed,0,0,0,0,17,1579,2,Wed,Feb,11.8
284,medium,com,0,multipart/alternative,16,132,1,0,209,61764,0,Wed,Apr,7.0
285,google,com,0,text/plain,0,0,1,0,84,869,0,Thu,Mar,13.516666666666667
