,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour
73,187,3,0,0,0,89,1,0,157,6276,6,13,579
74,287,26,0,0,26,253,0,0,163,1962,2,14,178
75,187,3,0,1,0,0,1,0,87,5231,7,13,394
76,140,26,0,1,0,0,0,0,10,5108,5,20,595
77,187,3,1,0,0,68,0,0,138,7454,4,11,602
78,187,3,0,1,0,46,0,0,169,1006,2,18,225
79,187,3,15,0,0,1,1,0,203,2541,3,19,1168
80,380,26,0,0,10,48,0,0,21,7519,4,16,1393
81,140,26,0,1,0,0,0,0,225,5108,2,20,631
82,303,26,0,0,13,221,1,0,159,860,4,11,1117
83,255,83,0,6,0,0,0,0,45,97,5,14,1312
84,187,3,0,0,1,2,1,1,190,6770,6,13,140
85,81,90,0,0,35,156,0,0,112,2538,2,20,4
86,187,3,1,1,0,56,1,0,127,3357,7,20,13
87,305,26,0,0,7,246,0,0,57,5517,1,15,799
88,187,3,0,0,0,184,1,1,168,4728,6,18,1416
89,255,83,0,0,1,24,1,0,161,665,7,10,168
90,71,26,0,0,74,199,0,0,169,4717,5,14,969
91,247,112,0,4,74,199,0,0,169,5750,5,15,717
92,305,26,0,0,13,3,1,1,46,6479,6,9,663
93,325,47,0,4,2,167,0,0,222,8726,2,14,854
94,69,84,0,4,0,184,1,0,153,1764,7,1,782
95,81,90,0,0,35,134,0,0,76,237,4,18,1325
96,107,66,0,0,67,130,0,0,153,1648,2,11,167
97,292,90,0,0,17,216,0,0,179,2860,0,11,280
98,187,3,0,0,0,184,1,0,169,5723,2,20,313
99,20,26,0,0,35,156,0,0,50,432,6,18,770
100,187,3,13,0,0,184,1,1,205,7944,6,15,419
101,187,3,15,0,0,0,0,0,145,2247,3,19,1405
102,187,3,15,2,0,0,0,0,132,1525,6,13,303
103,292,90,0,0,16,210,0,0,178,2606,7,14,399
104,307,26,0,0,2,227,0,0,186,4274,2,9,822
105,386,26,0,0,35,99,0,0,194,3670,5,10,423
106,187,3,17,1,0,0,0,0,205,396,5,17,244
107,81,90,0,0,35,156,1,1,187,2877,2,14,1
108,255,83,0,6,0,0,0,0,45,125,4,18,1252
109,386,26,0,0,35,99,0,0,161,3531,4,20,1420
110,380,26,0,0,5,266,0,0,205,5104,7,16,559
111,81,90,0,0,46,126,1,0,165,1184,7,12,1110
112,274,26,1,0,2,130,0,0,217,4096,5,19,389
113,325,47,0,4,6,199,0,0,161,2583,3,9,516
114,380,26,0,0,5,266,0,0,193,5114,7,18,252
115,197,26,0,4,6,15,1,1,206,5951,6,17,248
116,187,3,1,0,0,109,1,0,177,1297,6,19,585
117,187,3,13,0,1,207,1,0,182,6915,7,10,456
118,167,26,0,0,2,191,0,0,159,563,3,17,1358
119,386,26,0,0,35,99,0,0,163,3717,2,20,1264
120,287,26,0,0,30,260,0,0,161,2204,6,14,178
121,187,3,1,6,0,1,1,0,18,1036,2,11,948
122,392,90,0,2,0,0,0,0,151,5108,2,16,319
123,270,41,0,0,57,223,1,0,177,5130,1,12,1126
124,241,26,0,0,35,57,0,0,172,7317,2,10,151
125,380,26,0,0,38,150,0,0,204,8412,4,20,591
126,307,26,0,0,14,12,0,0,190,7566,2,9,597
127,392,90,0,2,0,0,0,0,134,5108,7,13,903
128,295,26,0,0,57,216,0,0,134,3985,1,16,1094
129,405,26,0,0,15,252,0,0,228,6402,5,11,817
130,384,41,0,4,71,176,1,0,198,4055,1,13,1157
131,218,26,0,0,67,119,1,1,173,4265,6,13,1410
132,187,3,1,0,0,1,0,0,175,2939,6,18,356
133,114,90,0,0,70,201,1,0,216,1917,7,11,828
134,305,26,0,0,13,270,1,0,233,7888,6,13,260
135,380,26,0,0,32,140,0,0,200,8258,2,14,925
136,325,47,0,4,59,33,0,0,165,4853,6,13,8
137,215,90,0,0,46,205,0,0,229,1395,1,15,828
138,292,90,0,0,16,218,0,0,176,2754,0,15,364
139,292,90,0,0,17,216,0,0,179,2570,0,15,325
140,108,78,0,0,2,202,0,0,159,5151,2,20,21
141,187,3,0,1,0,2,0,0,127,4869,1,13,979
142,114,90,0,0,65,188,1,0,213,1627,6,13,317
143,187,3,1,2,0,2,1,0,190,236,1,13,70
144,187,3,0,1,0,0,0,0,143,421,1,13,247
145,218,26,0,0,71,130,1,1,173,4414,7,13,384
146,187,3,13,0,13,233,1,1,165,5661,2,20,281
147,81,90,0,0,35,156,1,0,56,2005,2,14,616
148,386,26,0,0,35,99,1,0,163,3938,4,18,1318
149,126,14,0,4,47,270,0,0,165,5406,1,14,448
150,255,83,0,0,0,13,1,0,203,5307,6,17,473
151,83,102,0,0,22,32,0,0,180,2471,1,9,1086
152,325,47,0,4,14,228,0,0,165,4659,5,3,785
153,101,26,0,0,24,13,0,0,197,4515,1,17,13
154,187,3,13,0,0,109,1,0,168,5482,2,19,471
155,163,26,0,0,12,227,0,0,195,6777,7,9,774
156,82,58,0,4,46,89,0,0,140,1631,5,16,930
157,187,3,0,1,0,0,0,0,213,7717,5,10,284
158,121,103,0,0,1,238,0,0,192,2836,3,14,350
159,218,26,0,0,67,99,0,0,134,2173,6,9,842
160,405,26,0,0,18,268,0,0,198,7128,7,15,952
161,405,26,0,0,15,259,0,0,208,6748,1,16,716
162,187,3,0,0,0,0,1,0,138,6381,6,10,850
163,121,88,0,0,67,204,0,0,194,4404,4,14,273
164,140,26,0,1,0,0,0,0,214,5108,5,20,507
165,108,78,0,0,32,274,0,0,217,1649,7,17,331
166,215,90,0,0,0,126,0,0,185,7352,6,11,1363
167,72,26,0,0,67,191,0,0,174,1506,1,12,463
168,187,3,0,0,0,184,0,0,208,514,5,10,1300
169,292,90,0,0,16,220,0,0,178,3334,0,10,326
170,292,90,0,0,16,216,0,0,178,2676,0,10,369
171,165,26,0,0,0,167,1,0,164,6699,3,20,395
172,392,90,0,2,0,0,0,0,104,5108,5,13,495
173,197,26,0,4,6,15,0,1,176,6075,6,13,1342
174,292,90,0,0,17,220,0,0,178,3264,0,13,300
175,81,90,0,0,35,196,1,0,34,2206,1,17,464
176,270,41,0,0,57,200,1,0,177,1686,1,12,1367
177,83,102,0,0,17,17,0,0,185,2171,5,17,1155
178,321,24,0,0,37,247,0,0,163,3799,6,17,299
179,372,58,0,1,0,109,1,0,157,8652,7,9,1147
180,22,26,0,1,0,0,0,0,163,5108,3,15,1371
181,255,83,0,0,0,221,0,0,24,2717,5,13,36
182,122,18,0,4,71,138,1,0,157,1562,2,20,421
183,371,26,0,0,46,185,1,1,169,2445,1,14,668
184,108,78,0,0,13,130,0,0,161,7481,1,17,1192
185,255,83,0,0,1,68,0,0,176,1187,6,13,1069
186,371,26,0,0,1,35,0,0,203,3965,7,15,107
187,262,39,0,0,5,215,0,0,179,5727,1,9,50
188,119,26,0,0,0,35,1,1,167,2293,3,17,155
189,141,26,0,4,18,276,0,0,140,5592,6,14,37
190,187,3,0,0,0,184,1,0,127,4783,3,10,675
191,107,70,0,1,0,0,0,0,203,5108,6,13,835
192,160,26,0,6,0,233,0,0,138,8008,0,13,1126
193,292,90,0,0,16,218,0,0,178,3250,0,13,397
194,354,90,0,0,35,126,1,0,198,4399,5,17,401
195,305,26,0,0,71,12,1,0,198,8221,5,9,1242
196,235,26,0,0,67,200,1,0,34,6555,5,10,1035
197,255,83,0,6,0,0,0,0,45,184,2,14,1252
198,325,47,0,4,33,269,0,0,161,4833,5,20,382
199,141,26,0,4,5,275,0,0,171,6356,6,12,1413
200,305,26,0,0,0,274,1,1,233,7795,4,13,1062
201,384,41,0,4,24,205,0,0,161,4102,6,12,1428
202,286,26,0,0,25,262,0,0,197,4591,4,10,483
203,74,26,0,0,15,244,0,0,140,5548,5,14,555
204,386,26,0,0,35,99,0,0,163,3652,7,13,184
205,365,58,0,0,5,199,0,0,190,8336,2,12,428
206,187,3,0,0,0,0,0,0,34,3078,5,11,343
207,392,90,0,2,0,0,0,0,171,5108,3,12,1383
208,187,3,17,0,13,46,1,0,210,8242,6,11,701
209,81,90,0,0,46,126,1,1,180,1213,3,12,377
210,81,90,0,0,5,227,0,0,182,5037,5,13,924
211,74,26,0,0,6,209,0,0,197,4766,2,10,497
212,176,90,0,0,16,223,1,0,56,6705,3,14,254
213,224,26,0,0,71,203,0,0,173,1229,4,9,908
214,382,26,0,0,2,204,0,0,199,5971,7,18,378
215,331,102,0,0,17,23,0,0,143,2906,7,10,1227
216,22,58,0,1,0,0,0,0,151,5108,2,10,1428
217,187,3,15,0,0,184,1,0,179,4967,7,18,341
218,197,26,0,4,6,12,1,0,179,5812,6,17,236
219,187,3,1,2,0,0,0,0,164,330,6,18,327
220,72,26,0,4,57,68,0,0,174,6861,1,14,471
221,165,26,0,0,1,57,0,1,192,6096,5,13,352
222,187,3,1,0,0,207,1,0,174,1866,6,10,499
223,255,83,0,0,0,1,1,0,153,1281,1,18,601
224,241,26,0,0,0,256,0,0,194,4332,6,15,447
225,187,3,18,2,0,0,0,0,174,210,5,13,107
226,107,70,0,1,0,0,0,0,179,5108,2,16,1109
227,22,58,0,1,0,0,0,0,180,5108,2,9,1125
228,292,90,0,0,16,216,0,0,168,2818,0,9,304
229,151,26,0,4,0,207,1,0,185,8616,6,20,383
230,386,26,0,0,35,99,0,0,159,3443,4,20,1271
231,255,83,0,0,0,221,1,0,24,2625,7,20,955
232,370,26,0,4,14,202,1,0,153,301,5,20,1137
233,187,3,13,0,1,24,1,1,159,661,3,13,200
234,187,3,0,0,24,245,1,0,197,764,2,18,676
235,380,26,0,0,33,149,0,1,190,8447,3,10,843
236,270,41,0,0,67,218,1,0,177,4077,3,12,1354
237,302,26,0,0,7,215,0,0,204,657,6,12,304
238,318,26,0,0,0,245,1,0,159,1794,6,13,594
239,255,83,0,0,0,184,1,0,143,4652,5,13,1055
240,151,24,0,4,1,196,0,1,230,275,7,11,1329
241,167,26,0,0,11,203,0,0,149,1303,5,14,1266
242,62,40,0,1,0,0,0,0,225,2979,1,18,200
243,255,83,0,0,0,221,0,0,24,3511,4,20,728
244,172,26,0,0,1,119,0,0,169,7951,1,20,498
245,238,26,0,4,0,220,0,0,195,8366,5,10,1179
246,187,3,20,0,1,1,1,1,224,5608,7,20,248
247,292,90,0,0,16,229,1,0,178,3508,0,20,348
248,217,58,0,4,0,184,0,1,199,3247,1,18,1047
249,297,46,0,0,3,219,0,0,157,1392,3,15,393
250,379,26,0,0,35,2,0,0,5,5594,5,11,791
251,386,26,0,0,35,99,0,0,194,3678,5,10,534
252,299,40,0,0,11,210,1,0,138,1011,2,14,254
253,104,26,0,0,1,2,0,0,186,5285,5,12,271
254,385,52,0,0,13,35,1,0,211,8252,5,17,770
255,386,26,0,0,35,99,1,1,161,3858,3,20,1336
256,306,26,0,2,0,0,0,0,134,5082,3,9,932
257,255,83,0,0,0,221,0,0,24,2755,6,19,1430
258,255,83,0,3,0,0,0,0,164,3408,1,14,307
259,187,3,0,2,0,0,1,0,178,143,7,10,270
260,206,26,0,0,24,147,0,0,192,1463,4,15,525
261,292,90,0,0,15,205,0,0,176,2370,1,20,340
262,187,3,13,0,0,110,1,0,163,7580,6,13,178
263,187,3,0,0,0,0,1,0,159,1266,7,11,441
264,292,90,0,0,16,216,0,0,185,2636,0,11,607
265,292,90,0,0,16,225,0,0,176,3198,0,11,367
266,187,3,0,0,0,184,1,0,140,5324,2,10,225
267,22,58,0,1,0,0,0,0,165,5108,7,14,62
268,187,3,1,1,0,0,0,0,168,1246,3,19,252
269,187,3,15,0,0,0,1,0,76,5336,7,10,436
270,292,90,0,0,17,225,0,0,186,3119,0,10,366
271,255,83,0,4,0,0,1,0,34,156,1,19,126
272,386,26,0,0,35,99,0,0,163,3631,5,19,1164
273,329,50,0,4,0,109,0,0,157,5147,6,14,1397
274,255,83,0,0,71,89,1,0,202,6046,1,19,887
275,81,90,0,0,35,156,1,0,138,2413,7,20,592
276,185,26,0,4,74,134,1,0,196,6205,4,20,3
277,121,104,0,0,24,134,0,0,163,549,4,18,646
278,280,26,0,0,35,176,1,0,206,1118,0,18,783
279,292,90,0,0,17,229,0,0,178,3515,0,18,372
280,380,26,0,0,11,52,0,0,202,7046,3,10,917
281,380,26,0,0,14,75,0,0,35,8576,7,15,1426
282,163,26,0,0,10,242,0,0,161,7004,3,9,1329
283,255,83,0,1,0,109,0,0,39,281,5,19,265
284,187,3,0,0,0,245,1,1,132,5432,6,12,467
285,306,26,0,2,0,0,0,0,132,5082,7,16,891
286,384,14,0,4,47,270,0,0,153,5426,1,10,536
287,386,26,0,0,35,99,0,0,163,3624,4,20,1305
288,316,31,0,0,1,238,0,0,182,3999,6,11,193
289,187,3,15,0,0,0,1,0,153,918,7,11,122
290,187,3,0,0,0,0,1,0,7,3923,5,19,301
291,255,83,0,1,0,0,1,0,138,1721,6,9,1411
292,142,26,0,4,46,53,0,0,174,7993,6,9,148
293,386,26,0,0,35,99,0,0,163,3475,1,20,1044
294,187,3,13,0,1,68,1,0,217,2115,5,19,477
295,63,90,0,0,1,99,0,0,145,8604,3,10,1142
296,187,3,0,0,0,184,1,0,190,6539,4,20,701
297,22,58,0,1,0,0,0,0,159,5108,5,10,111
298,386,26,0,0,35,99,0,0,163,3459,4,18,1405
299,380,26,0,0,2,259,0,0,204,4963,7,18,332
300,305,26,0,0,2,17,1,1,175,8079,4,10,565
301,81,90,0,0,67,191,0,0,175,3663,4,11,621
302,262,39,0,0,6,214,0,0,182,5891,1,17,1272
303,137,26,0,0,0,256,0,0,150,8640,7,10,400
304,72,26,0,4,67,138,0,0,179,7156,1,20,634
305,187,3,13,0,0,1,1,0,134,3070,1,14,301
306,292,90,0,0,15,219,0,0,190,3095,0,14,237
307,81,90,0,0,46,126,1,0,143,1361,2,12,244
308,386,26,0,0,35,99,0,0,164,3668,7,16,571
309,108,78,0,0,7,234,0,0,196,3149,5,19,499
310,255,83,0,0,57,110,0,0,167,191,6,13,433
311,187,3,13,1,0,0,0,0,179,1706,7,19,234
312,187,3,0,2,0,0,1,0,96,3386,1,13,1432
313,187,3,0,0,0,0,1,0,145,7735,6,10,820
314,218,26,0,0,57,220,1,0,173,7084,7,17,2
315,255,83,0,0,0,89,1,0,205,7539,5,15,478
316,405,26,0,0,33,17,1,0,195,7821,7,19,662
317,187,3,0,0,0,0,0,0,174,8522,4,20,899
318,63,90,0,0,13,214,1,0,157,6508,7,14,1028
319,5,90,0,0,0,147,0,0,182,8235,4,12,693
320,371,26,0,0,8,269,0,0,194,8464,3,15,1107
321,305,26,0,0,10,258,1,1,6,5567,5,9,1108
322,185,26,0,0,74,264,0,1,229,28,7,11,1080
323,63,90,0,0,13,203,1,0,12,6686,7,9,1177
324,316,31,0,0,32,37,1,0,186,8359,7,11,186
325,187,3,18,0,0,256,1,0,172,7308,1,12,175
326,187,3,0,0,0,245,1,1,0,3270,5,14,700
327,187,3,1,0,0,0,1,0,132,3463,1,20,614
328,387,91,0,0,0,223,1,0,190,6619,3,10,57
329,187,3,17,0,0,0,1,0,167,1702,5,10,224
330,224,26,0,0,24,57,1,0,172,7713,2,14,1170
331,81,90,0,0,35,196,0,1,174,653,2,18,1327
332,241,26,0,0,13,35,0,0,185,6775,6,14,1240
333,380,26,0,0,67,225,0,0,192,5192,3,20,151
334,81,90,0,0,46,134,1,0,190,1264,1,13,1263
335,171,26,0,0,1,13,0,0,186,7301,5,20,93
336,187,3,13,6,0,184,0,1,211,1014,2,13,175
337,209,101,0,0,0,57,1,0,168,6331,6,15,518
338,380,26,0,0,6,20,0,0,65,6759,2,12,1318
339,386,26,0,0,35,99,0,0,163,3450,2,20,1165
340,255,83,0,0,0,221,1,0,24,3399,3,13,1352
341,151,26,0,4,1,245,1,0,192,7601,1,12,1171
342,225,45,0,1,0,0,0,0,87,5108,5,13,972
343,292,90,0,0,17,216,0,0,194,2670,0,13,290
344,270,41,0,0,57,200,1,0,177,1711,6,12,1145
345,5,90,0,0,0,109,1,0,143,4532,3,18,830
346,386,26,0,0,35,99,0,0,161,3783,6,16,472
347,63,90,0,0,24,196,0,0,178,5402,4,15,911
348,22,58,0,1,0,0,0,0,143,5108,4,10,316
349,95,99,0,0,42,265,0,0,132,6787,5,9,58
350,5,90,0,0,1,224,0,0,185,1909,2,15,1124
351,107,114,0,0,2,229,1,0,171,4810,7,15,1363
352,380,26,0,0,74,272,0,0,16,5754,7,19,619
353,405,26,0,0,20,272,0,0,215,7206,6,20,949
354,137,26,0,0,35,68,0,0,153,412,5,12,1058
355,255,83,0,0,57,219,1,0,167,1585,0,12,1363
356,165,26,0,2,0,0,0,0,111,5901,6,20,457
357,187,3,0,2,0,0,1,0,200,8483,2,10,410
358,292,90,0,0,14,209,0,0,5,3138,0,10,320
359,81,90,0,0,35,219,0,0,159,1729,2,19,268
360,386,26,0,0,35,99,0,0,163,3634,2,14,549
361,382,26,0,0,71,219,1,0,230,7826,5,20,1135
362,22,58,0,0,71,248,1,0,183,5932,6,15,78
363,137,26,0,0,0,267,0,0,150,189,2,12,1205
364,197,26,0,4,6,19,1,1,163,6125,6,15,246
365,386,26,0,0,35,99,0,0,163,3480,1,19,1424
366,325,47,0,4,12,216,0,0,188,1780,6,17,872
367,380,26,0,0,13,185,0,0,190,1897,3,15,873
368,136,26,0,0,1,89,0,0,173,7048,2,12,1168
369,392,90,0,2,0,0,0,0,140,5108,6,17,297
370,107,114,0,0,35,130,0,0,175,1129,1,17,520
371,104,26,0,0,1,267,0,0,188,5312,6,18,780
372,187,3,0,0,0,0,1,0,134,1326,7,18,1404
373,407,26,0,0,13,256,0,0,207,5121,5,20,1251
374,380,26,0,0,67,244,0,0,186,4309,3,12,628
375,22,58,0,1,0,0,0,0,164,5108,4,9,1
376,316,31,0,0,1,239,0,0,168,4013,6,13,1303
377,22,58,0,1,0,0,0,0,172,5108,7,15,96
378,386,26,0,0,35,99,0,0,161,3488,4,13,329
379,82,58,0,4,46,99,0,0,164,2268,7,12,1117
380,255,83,0,6,0,0,0,0,45,184,1,14,1312
381,79,26,0,0,24,126,0,0,140,2507,7,10,1104
382,225,45,0,1,0,0,0,0,138,5108,1,13,681
383,386,26,0,0,35,99,0,0,163,3473,1,20,570
384,331,102,0,0,19,22,0,0,233,2321,2,16,1402
385,305,26,0,0,0,275,1,1,188,8050,5,12,1097
386,187,3,13,0,0,0,1,0,127,1820,7,12,415
387,405,26,0,0,14,247,0,0,61,6301,1,12,656
388,380,26,0,0,37,153,0,0,190,8455,6,20,956
389,371,26,0,0,74,209,1,0,177,2092,1,18,546
390,187,3,13,0,0,0,1,0,96,2114,4,11,662
391,287,26,0,0,25,254,0,0,186,1700,3,15,1136
392,187,3,13,0,0,0,1,0,138,4144,4,10,582
393,22,58,0,1,0,0,0,0,183,5108,2,14,750
394,0,26,0,6,0,184,0,0,104,8149,4,11,1105
395,162,26,1,0,13,126,0,0,184,4765,7,13,325
396,292,90,0,0,15,209,0,0,178,2859,7,10,394
397,5,90,0,0,67,89,1,0,179,209,1,12,1088
398,151,26,0,4,1,245,1,0,196,7801,1,17,253
399,382,26,0,0,57,209,1,0,186,5603,2,9,260
400,43,26,0,0,5,185,0,0,175,1552,6,13,1340
401,187,3,0,1,0,109,0,0,163,6529,7,20,140
402,380,26,0,0,2,272,0,0,3,5760,7,20,540
403,405,26,0,0,15,254,0,0,203,6623,5,17,626
404,107,66,0,0,67,126,0,0,171,2461,5,11,151
405,259,11,0,0,24,134,0,0,153,54,7,20,738
406,292,90,0,0,16,216,0,0,179,2719,0,20,309
407,255,83,0,0,22,79,0,1,167,130,7,20,947
408,114,90,0,0,9,275,0,0,213,135,1,19,822
409,305,26,0,0,9,14,1,0,171,65,4,16,727
410,255,83,0,0,0,13,1,0,204,5268,5,13,473
411,292,90,0,0,17,216,0,0,176,2648,0,13,305
412,114,90,0,0,18,260,0,0,149,8319,6,17,498
413,49,90,0,0,46,134,0,0,157,5521,4,17,1212
414,114,90,0,0,18,257,0,0,204,8249,6,18,188
415,325,47,0,4,37,275,0,0,176,5057,4,20,477
416,256,26,0,0,25,251,0,0,104,2221,3,12,1123
417,292,90,0,0,16,216,0,0,169,2626,0,12,515
418,82,58,0,4,46,99,0,0,168,2362,7,10,632
419,171,26,0,0,1,13,0,0,194,8413,5,15,286
420,255,83,0,0,0,221,0,0,24,3964,1,20,918
421,187,3,15,0,0,221,1,0,198,7088,7,20,575
422,187,3,1,2,0,0,0,0,164,330,4,18,683
423,405,26,0,0,11,248,1,0,8,6138,2,10,85
424,74,26,0,0,3,203,0,0,153,4119,7,10,561
425,151,26,0,4,0,109,1,0,207,5308,6,15,1288
426,405,26,0,0,5,222,0,0,7,4999,3,9,842
427,187,3,6,0,0,0,1,0,199,2731,5,18,303
428,187,3,15,0,0,0,1,0,56,5547,1,14,1366
429,287,26,0,1,0,0,0,0,190,5108,1,11,477
430,262,39,0,0,17,266,0,0,172,5169,1,17,66
431,187,3,0,1,0,0,0,0,168,5108,4,19,614
432,187,3,0,0,0,0,1,0,176,3715,3,14,33
433,380,26,0,0,2,269,0,0,196,5126,7,12,277
434,297,46,0,0,7,209,0,0,159,1150,5,12,845
435,187,3,0,0,0,0,1,0,120,2071,3,10,832
436,386,26,0,0,35,99,0,0,161,3508,6,9,655
437,187,3,0,0,0,0,1,0,153,1066,1,20,861
438,42,118,0,0,13,46,1,0,153,7282,3,20,437
439,0,26,0,6,0,233,1,0,153,2102,7,16,1313
440,107,19,0,0,11,234,0,0,161,1882,7,16,208
441,187,3,13,1,0,0,0,0,153,8425,5,13,497
442,187,3,1,0,0,207,0,0,172,1515,2,19,719
443,255,83,0,1,0,0,0,0,12,5108,2,10,313
444,170,84,0,0,46,199,1,0,185,2121,5,17,1384
445,168,26,0,0,1,256,0,0,153,2306,1,14,1160
446,187,3,1,1,0,245,0,0,157,3851,2,18,498
447,22,26,0,1,0,0,0,0,161,5108,6,14,1318
448,81,90,0,0,57,134,0,0,19,1866,1,16,1007
449,151,26,0,4,1,245,1,1,232,7663,2,12,1403
450,305,26,0,0,13,8,1,0,226,8229,3,15,968
451,187,3,1,0,13,267,1,0,188,6766,6,18,1076
452,241,26,0,0,35,99,0,0,169,6190,5,14,1150
453,57,90,0,0,0,221,0,0,203,1380,7,10,435
454,305,26,0,0,13,4,1,0,186,8090,1,9,1392
455,209,101,0,0,0,35,1,0,169,6265,2,15,640
456,73,26,0,4,0,2,1,0,161,5439,0,15,135
457,386,26,0,0,35,99,0,0,163,3797,4,12,333
458,380,26,0,0,9,10,0,0,44,6309,7,11,1240
459,262,39,0,0,1,233,0,0,172,481,5,17,111
460,386,26,0,0,35,99,0,0,161,3763,5,10,1273
461,270,103,0,0,1,89,0,0,177,428,1,14,354
462,227,85,0,0,35,191,0,0,174,3180,7,20,426
463,270,41,0,0,67,204,1,0,177,2081,7,16,836
464,280,26,0,0,21,254,1,0,206,5122,0,16,389
465,62,40,0,4,0,1,1,0,6,1156,6,13,324
466,81,90,0,0,35,130,1,0,56,1853,2,15,581
467,197,26,0,4,0,28,1,0,180,7649,1,14,135
468,292,90,0,0,15,215,0,0,172,2542,0,14,291
469,156,26,0,1,0,0,0,0,176,5108,2,15,971
470,187,3,13,0,0,221,1,0,171,5819,3,19,107
471,187,3,13,0,1,207,1,0,183,6211,7,19,225
472,5,90,0,0,0,46,1,0,66,6091,7,12,1391
473,149,26,0,4,57,126,0,0,104,8371,1,12,519
474,305,26,0,0,1,272,1,1,233,8087,6,12,1327
475,218,26,0,0,57,99,1,0,134,4153,7,9,241
