,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour,label
39,32,91,0,0,3,37,0,1,82,19627,2,14,2.25,3
40,64,51,0,2,0,0,0,0,12,276063,4,17,17.816666666666666,0
41,186,39,0,0,21,64,0,0,76,44044,4,18,0.65,3
42,238,2,3,0,0,0,1,0,39,1697,1,11,16.566666666666666,2
43,481,39,0,0,4,19,0,0,37,27148,5,10,14.816666666666665,0
44,382,39,0,0,15,104,0,1,65,100175,4,16,17.533333333333335,1
45,465,39,0,0,2,36,1,0,68,41371,6,14,10.15,0
46,335,75,0,0,0,4,1,0,32,1210,0,9,15.466666666666667,0
47,32,91,0,0,29,256,0,0,31,116494,1,14,6.716666666666668,3
48,473,39,0,0,16,140,0,0,70,84727,5,20,12.283333333333333,1
49,475,39,0,0,10,36,1,0,74,48813,0,18,10.383333333333333,3
50,32,91,0,2,0,0,0,0,113,4,4,20,6.55,3
51,210,39,0,0,0,9,0,0,116,11608,3,16,8.45,0
52,275,39,0,0,17,71,0,1,91,78901,6,20,18.5,1
53,214,39,0,6,6,28,0,0,36,8863,5,12,4.266666666666667,0
54,481,39,0,0,4,17,0,0,34,31414,6,20,21.03333333333333,0
55,303,39,0,0,4,17,0,0,88,7653,6,19,22.0,3
56,317,116,0,7,0,1,0,0,51,465,6,18,13.533333333333333,0
57,475,39,0,0,12,41,1,0,57,58294,0,14,8.6,3
58,369,71,0,0,14,43,0,0,35,15033,4,10,3.05,1
59,303,39,0,0,0,10,0,0,40,3545,5,16,12.183333333333335,3
60,465,39,0,0,14,83,1,1,156,116910,0,10,18.8,3
61,238,2,0,0,0,7,1,0,10,3990,2,15,10.166666666666666,2
62,392,45,0,0,34,128,0,0,57,79385,2,19,10.6,3
63,238,2,1,0,0,0,1,0,24,313,5,10,19.233333333333334,2
64,68,126,0,0,3,17,1,0,43,36122,4,17,21.35,0
65,382,39,0,0,7,89,1,0,68,90366,1,11,17.666666666666668,0
66,113,126,0,0,4,39,1,1,44,29312,1,14,0.18333333333333326,0
67,238,2,2,3,0,0,0,0,21,11228,0,9,12.933333333333335,2
68,238,2,1,2,0,48,0,0,19,2784903,3,19,14.116666666666667,2
69,238,2,0,0,0,1,1,0,39,2670,6,13,2.05,2
70,275,39,0,0,9,41,0,1,113,41323,6,17,1.0166666666666666,1
71,186,39,0,6,39,91,1,0,88,65307,4,14,1.0333333333333334,3
72,94,126,0,0,1,9,0,0,50,5501,5,14,1.9166666666666663,0
73,238,2,2,0,0,0,1,0,35,2433,4,14,14.116666666666667,2
74,481,39,0,0,4,17,0,0,35,30288,1,10,6.583333333333332,0
75,214,39,0,6,20,84,0,0,36,24461,5,15,1.8666666666666667,0
76,286,100,0,0,0,10,1,0,42,3650,2,18,21.55,3
77,327,62,0,0,17,56,0,0,76,58243,1,12,7.533333333333332,3
78,238,2,4,0,0,0,1,0,39,3372,5,11,12.466666666666667,2
79,238,2,4,0,0,9,1,0,49,7191,0,14,18.066666666666666,2
80,160,126,0,0,11,35,0,0,99,32897,0,10,15.733333333333333,3
81,214,39,0,7,0,0,1,0,91,1146,1,17,13.0,0
82,481,39,0,0,4,19,0,0,38,27097,5,19,14.233333333333333,0
83,54,91,0,6,10,26,0,0,37,14881,4,12,17.783333333333335,3
84,238,2,0,0,0,3,1,1,31,9011,4,9,14.1,2
86,275,39,0,0,4,26,0,1,29,23182,1,15,9.566666666666666,1
88,317,116,0,6,5,26,0,1,19,6975,5,15,23.03333333333333,0
89,238,2,0,0,0,3,1,0,52,1937,5,15,17.616666666666667,2
90,275,39,0,0,4,26,0,0,45,20258,6,15,9.85,1
91,418,126,0,0,10,60,0,0,133,86802,4,15,12.066666666666665,3
92,286,93,0,6,4,29,0,0,47,18514,2,13,22.6,1
93,238,2,0,0,0,2,1,0,39,7894,2,17,23.86666666666667,2
94,238,2,0,0,1,3,1,0,37,3145,6,18,11.883333333333333,2
95,382,39,0,0,8,95,0,0,114,82866,4,19,7.333333333333332,1
96,119,126,0,0,4,25,0,0,99,45326,1,14,14.9,0
97,151,103,0,2,0,0,0,0,26,4,6,16,19.03333333333333,1
99,78,64,0,2,0,12,1,0,117,4447447,1,11,13.9,2
100,152,110,0,0,21,163,1,1,42,147500,4,15,17.383333333333333,0
101,80,126,0,0,4,41,1,1,16,59172,5,17,1.9166666666666663,0
102,32,91,0,2,0,0,0,0,34,4,3,13,0.38333333333333336,3
103,32,91,0,2,0,0,0,0,42,4,4,15,14.266666666666667,3
104,408,76,0,0,38,146,0,0,48,124047,5,11,15.516666666666667,3
105,78,64,0,6,5,21,1,0,104,32684,1,11,15.416666666666664,2
106,481,39,0,0,4,19,0,0,37,28170,0,14,0.31666666666666665,0
107,421,39,0,0,3,19,0,0,38,17550,5,8,20.116666666666667,0
108,254,9,0,0,23,62,0,0,63,43508,1,19,23.75,3
109,317,116,1,0,0,3,0,0,27,6191,3,11,0.15,0
110,317,116,0,4,0,3,1,0,162,4137,1,16,0.11666666666666667,0
111,87,39,0,0,14,46,1,0,36,38695,5,9,10.733333333333333,3
112,335,75,0,0,0,4,1,0,32,1210,0,9,10.166666666666666,0
113,9,39,0,0,4,19,0,0,33,36541,0,11,17.566666666666666,1
114,91,39,0,0,11,41,1,0,67,20065,6,11,17.3,3
116,392,45,0,0,33,134,0,0,53,83268,2,11,9.533333333333333,3
117,186,39,0,6,17,47,0,0,55,32589,4,10,5.683333333333334,3
118,317,116,0,2,0,0,1,0,26,6983600,6,20,9.766666666666667,0
119,335,75,0,0,0,4,1,0,32,1210,0,9,10.266666666666667,0
120,78,64,0,3,0,5,0,0,115,16582,0,16,10.3,2
121,206,39,0,7,0,1,0,0,65,377,1,19,19.466666666666665,0
122,68,126,0,0,5,27,0,0,43,42522,5,13,16.85,3
123,206,39,1,0,3,18,0,0,73,3979,5,15,8.9,2
124,224,39,0,0,4,27,0,0,37,29951,1,17,15.583333333333336,0
125,13,71,0,3,0,0,0,0,28,19868,1,17,2.7666666666666666,0
126,238,2,1,0,0,13,1,0,17,7081,4,17,12.216666666666667,2
127,481,39,0,6,4,14,0,0,37,24828,2,9,12.3,0
128,286,70,0,0,50,241,1,0,38,110200,0,19,2.3166666666666664,1
129,238,2,1,0,0,8,1,0,24,11795,2,14,18.1,2
130,507,39,0,0,12,51,0,0,81,44516,3,12,16.766666666666666,1
131,275,39,0,0,16,68,0,1,84,71108,1,14,21.48333333333333,1
132,382,39,0,0,2,121,1,1,39,95273,2,10,15.333333333333336,1
133,238,2,0,0,0,3,0,0,6,366,5,10,16.533333333333335,2
134,335,75,0,0,0,4,1,0,32,1210,0,9,10.166666666666666,0
135,214,39,0,6,8,36,0,0,32,11034,5,17,8.683333333333334,0
136,360,39,0,0,0,8,0,1,30,2418,1,10,11.316666666666665,0
138,280,106,0,0,31,119,1,0,28,87449,4,16,9.5,3
139,214,39,0,6,20,84,0,0,40,25332,2,15,4.5,0
140,119,126,0,0,5,42,1,0,146,59000,6,14,7.5,0
141,473,39,0,0,20,129,0,0,87,72403,5,17,9.466666666666667,1
142,507,39,0,0,38,115,0,0,79,78727,4,19,20.166666666666668,1
143,473,39,0,0,9,54,0,1,70,35879,0,20,10.683333333333334,1
144,32,39,0,0,1,45,0,1,47,30447,1,16,7.7666666666666675,0
145,238,2,2,2,2,0,0,0,37,670871,0,20,10.866666666666667,2
146,460,39,0,0,7,17,1,0,99,21777,3,16,17.7,0
147,32,91,0,0,30,253,0,0,15,116395,0,19,0.21666666666666667,3
148,32,91,0,0,20,177,0,0,103,88677,5,17,0.08333333333333333,3
149,286,93,0,6,21,89,0,1,69,54396,3,14,14.033333333333333,1
150,389,91,0,0,5,22,0,0,48,5119,4,20,8.283333333333333,3
151,507,39,0,0,20,83,1,0,75,75546,2,19,14.833333333333336,1
152,238,2,0,0,0,3,1,0,111,8687,6,18,14.166666666666664,2
153,32,91,0,0,30,250,1,0,11,113728,4,20,0.15,3
154,275,39,0,0,7,21,1,0,45,30112,5,15,9.916666666666666,1
155,182,39,0,0,4,16,0,0,33,11400,3,10,7.65,1
156,214,39,0,6,2,12,0,0,37,4438,4,17,5.083333333333333,0
157,9,39,0,0,1,13,1,0,154,38961,0,12,12.433333333333335,0
158,338,39,0,2,1,35,0,0,34,80457,3,14,17.516666666666666,0
159,317,116,0,0,9,61,0,0,61,24734,4,16,9.666666666666666,0
160,275,39,0,0,9,49,0,0,57,42559,4,12,3.083333333333333,0
161,238,2,3,0,0,0,1,1,36,2383,1,18,12.75,2
162,481,39,0,0,4,19,0,0,37,27440,0,13,11.116666666666667,0
163,32,91,0,0,2,74,1,0,55,29109,4,19,19.3,0
164,238,2,2,0,0,1,0,0,30,4682,5,14,13.466666666666667,2
165,238,2,0,0,0,6,1,0,76,9713,6,18,18.08333333333333,2
166,303,39,0,0,0,11,1,0,42,3751,0,15,6.5,3
167,238,2,2,0,0,2,1,0,33,1958,4,15,11.033333333333333,2
168,389,91,0,0,8,27,0,0,51,6144,4,11,10.633333333333333,3
169,32,91,0,0,2,74,1,0,55,28231,2,11,17.133333333333333,0
170,473,39,0,0,26,121,0,0,45,61905,5,10,17.283333333333335,1
171,382,39,0,0,16,73,0,1,119,51464,4,20,15.766666666666667,3
172,32,91,0,0,25,146,0,0,44,67366,2,10,6.716666666666668,3
173,148,39,1,0,4,19,0,0,54,9552,1,14,16.816666666666666,0
174,238,2,0,0,0,3,1,0,46,2809,0,16,22.41666666666667,2
175,214,39,0,6,4,20,0,0,46,6683,2,17,1.45,0
176,160,126,0,0,12,42,0,0,68,43941,3,19,10.7,3
177,238,2,3,0,3,3,1,0,37,7558,0,11,14.933333333333335,2
178,206,39,0,0,5,26,1,1,118,23430,6,10,18.216666666666665,0
179,269,91,0,6,0,17,1,1,62,8971,1,14,10.0,0
180,238,2,6,0,1,4,1,0,0,6137,6,14,14.266666666666667,2
181,408,76,0,0,32,128,0,0,37,105741,1,18,16.083333333333332,3
182,256,39,0,0,0,11,0,0,100,3122,1,14,17.133333333333333,0
183,329,143,0,0,12,64,0,0,16,26461,3,16,7.7666666666666675,3
184,421,39,0,0,4,32,0,0,116,16610,3,10,10.883333333333333,0
185,113,126,0,0,14,88,0,0,27,56366,1,13,14.7,0
186,507,39,0,0,28,111,1,0,97,88664,5,16,21.91666666666667,1
187,9,39,0,0,2,14,1,0,79,40085,1,16,14.483333333333333,0
188,238,2,0,0,2,8,1,0,38,3207,0,15,12.533333333333333,2
189,473,39,0,0,21,63,0,0,45,31382,1,19,10.4,3
190,32,91,0,0,8,97,0,0,44,39780,3,15,2.5666666666666664,3
191,238,2,6,0,0,1,1,0,16,1472,6,17,16.733333333333334,2
192,481,39,0,0,4,19,0,0,35,26977,5,14,9.666666666666666,0
193,473,39,0,0,34,184,0,0,73,82043,0,14,9.066666666666666,1
194,481,39,0,0,4,19,1,0,38,27714,5,20,6.616666666666667,0
195,68,126,0,0,5,25,0,0,37,39906,5,13,16.883333333333333,0
196,275,39,0,0,4,26,0,0,29,22718,2,17,17.116666666666667,1
197,238,2,6,0,0,6,1,0,29,30479,6,9,17.55,2
198,382,39,0,0,1,11,1,0,42,10228,5,15,12.116666666666667,1
199,512,39,0,0,2,25,1,0,106,49337,1,13,6.7,0
200,238,2,0,0,2,6,1,0,32,6356,2,9,22.18333333333333,2
201,238,2,1,2,0,0,0,0,61,127215,6,10,16.016666666666666,2
202,280,106,0,0,33,152,0,0,27,100279,5,12,7.5166666666666675,0
203,275,39,0,0,9,69,1,0,56,48852,6,19,1.1666666666666667,1
204,164,121,0,6,11,44,1,0,48,49717,6,11,17.45,3
205,465,39,0,0,24,122,0,0,42,102794,2,16,18.08333333333333,3
206,238,2,0,3,0,0,0,0,56,168635,6,16,11.716666666666667,2
208,353,39,0,2,0,0,0,0,72,4,5,10,6.5,3
209,335,75,0,0,0,4,1,0,32,1210,0,9,4.566666666666666,0
210,327,62,0,0,0,9,0,0,70,1998,4,10,6.566666666666666,0
211,481,39,0,6,4,14,0,0,36,24732,6,18,0.25,0
212,183,39,0,2,2,28,0,0,36,20558,4,19,6.25,0
213,238,2,0,0,0,1,1,0,5,783,0,20,12.4,2
214,404,38,0,7,0,0,0,0,57,687,5,18,21.383333333333333,0
215,32,91,0,0,23,134,0,0,48,61677,0,15,7.0,3
216,238,2,2,0,0,6,1,0,64,25630,2,10,14.45,2
217,432,39,0,0,0,11,0,1,19,17646,1,20,17.05,3
218,167,29,0,6,28,95,1,0,29,63364,2,18,14.083333333333336,3
219,404,38,0,7,0,0,0,0,57,678,1,14,0.2333333333333333,0
220,408,76,0,0,7,36,0,0,41,21458,6,9,9.083333333333334,3
221,317,116,0,0,20,95,0,1,53,27807,4,18,17.766666666666666,0
222,214,39,0,6,10,44,0,0,38,13593,5,9,1.35,0
223,404,38,0,7,0,0,0,0,57,690,2,10,22.15,0
224,214,39,0,0,3,9,1,0,58,6469,5,15,14.216666666666667,0
225,481,39,0,6,3,14,0,0,33,24657,5,14,12.416666666666664,0
226,214,39,0,6,2,12,0,0,36,4356,0,17,23.78333333333333,0
227,238,2,14,0,0,3,1,0,30,8094,1,9,13.083333333333336,2
228,382,39,0,0,8,109,0,0,93,82779,6,18,6.2,1
229,214,39,0,6,20,84,0,0,36,24958,2,15,10.916666666666664,0
230,240,39,0,0,21,104,0,0,40,71280,2,10,2.4,3
231,465,39,0,0,46,148,1,0,66,179691,2,15,4.0,3
232,238,2,3,0,0,0,1,1,36,7389,4,20,13.683333333333335,2
233,329,62,0,0,5,19,0,0,39,20026,4,9,16.85,0
234,404,38,0,6,1,17,0,0,72,3429,6,16,23.75,0
235,168,59,0,0,10,63,0,0,41,29163,5,12,18.383333333333333,0
236,238,2,3,0,0,0,1,0,47,3968,1,11,21.73333333333333,2
237,329,143,0,0,12,86,0,0,48,33207,1,16,22.15,3
238,97,39,0,0,0,11,0,0,66,6085,0,20,0.31666666666666665,0
239,317,116,0,7,0,2,1,0,31,511,3,11,20.9,0
240,158,48,0,0,0,7,0,0,103,2942,1,16,6.2666666666666675,0
241,238,2,0,0,0,3,1,0,50,1485,4,20,15.416666666666664,2
242,317,116,0,0,20,55,1,0,25,22824,3,15,13.75,0
243,275,39,0,0,4,36,0,0,29,24497,3,14,14.216666666666667,1
244,382,39,0,0,8,99,0,1,71,87370,6,11,6.6,1
245,435,74,0,2,0,0,0,0,97,143154,5,17,11.5,0
246,473,39,0,0,10,55,0,0,53,31025,0,15,19.666666666666668,1
247,382,39,0,0,16,109,1,1,117,105036,4,20,12.166666666666664,1
248,507,39,0,0,24,85,0,0,100,62968,3,9,5.333333333333333,1
249,113,126,0,0,4,27,0,1,21,24251,1,10,0.03333333333333333,0
250,238,2,0,2,0,10,0,0,55,2766956,2,14,12.6,2
251,336,39,0,0,15,46,1,1,50,61588,6,15,13.633333333333333,0
252,317,116,0,0,2,33,0,0,61,11860,0,13,5.6,0
253,481,39,0,0,4,17,0,0,35,30046,5,16,14.583333333333336,0
254,275,39,0,0,4,26,0,0,45,20516,4,17,3.25,1
255,382,39,0,0,2,97,1,1,76,82386,0,10,14.416666666666664,1
256,224,39,0,0,2,16,0,0,32,30725,3,20,17.65,0
257,246,39,0,0,0,5,0,0,36,1242,6,14,6.166666666666668,0
258,233,27,0,6,1,13,0,0,53,15629,6,11,17.116666666666667,0
259,327,62,0,0,12,47,0,0,54,50901,6,20,1.0333333333333334,3
260,481,39,0,0,4,17,0,0,34,29941,0,16,3.6166666666666663,0
261,382,39,0,0,8,15,0,0,47,12698,5,9,15.85,0
262,286,100,0,0,14,32,1,0,33,24630,1,10,15.95,0
263,481,39,0,6,4,14,0,0,34,24657,5,19,7.7666666666666675,0
264,206,39,1,0,3,18,0,0,47,3971,5,14,14.933333333333335,2
265,32,64,0,0,12,78,1,0,54,54196,3,18,20.233333333333334,0
266,186,39,0,6,25,63,0,0,56,53878,3,9,1.9166666666666663,3
267,481,39,0,0,4,19,0,0,35,26875,5,10,6.85,0
268,398,47,0,0,0,41,0,0,41,33994,4,19,10.033333333333333,0
269,512,39,0,0,2,31,1,0,118,13123,1,10,4.566666666666666,0
270,335,75,0,0,0,4,1,0,32,1210,0,9,15.333333333333336,0
271,224,39,0,0,2,22,0,0,61,36727,4,17,8.5,0
272,481,39,0,0,4,19,0,0,39,27141,4,20,16.9,0
273,238,2,0,0,1,7,1,0,41,5578,0,13,9.683333333333334,2
274,186,39,0,6,21,85,1,0,60,78393,3,13,3.4333333333333336,3
275,352,39,0,0,40,69,0,0,65,30869,2,19,8.7,0
276,481,39,0,0,4,19,0,0,37,26863,1,14,4.4,0
277,238,2,3,0,0,2,1,0,22,20843,1,14,10.133333333333333,2
278,168,59,0,0,3,44,0,0,34,24494,5,12,9.666666666666666,0
279,481,39,0,0,4,19,0,0,36,26939,4,14,9.85,0
280,465,39,0,0,32,77,0,0,45,112011,0,10,20.28333333333333,0
281,238,2,1,2,0,0,0,0,46,344528,1,13,10.283333333333333,2
282,275,39,0,0,4,28,0,0,45,21153,1,9,6.083333333333332,1
283,238,2,1,2,0,0,0,0,17,1579,6,12,11.8,2
284,301,39,0,0,16,132,1,0,209,61764,6,9,7.0,0
285,214,39,0,7,0,0,1,0,84,869,4,16,13.516666666666667,0
286,392,45,0,0,36,134,0,0,84,89756,6,13,8.8,3
287,238,2,0,0,0,0,1,0,127,684,0,12,16.166666666666668,2
288,214,39,0,0,9,24,1,0,66,17740,0,20,16.133333333333333,0
289,238,2,5,0,0,0,1,0,21,726,6,16,20.0,2
290,436,39,0,2,22,47,0,0,77,36826,5,15,1.3,0
291,335,75,0,0,0,4,1,0,32,1210,0,9,3.7666666666666666,0
292,32,91,0,0,6,116,0,0,33,54543,6,12,0.3,3
293,212,39,0,6,1,18,0,0,24,17012,0,13,2.8,0
294,238,2,0,0,2,2,1,0,32,3350,0,14,11.65,2
295,78,64,0,6,17,55,0,0,205,44193,6,19,17.65,2
296,382,39,0,0,8,110,0,1,63,86911,6,20,0.7833333333333333,1
297,137,135,0,0,48,92,0,0,24,61248,1,20,14.166666666666664,3
298,336,39,0,0,21,67,0,1,42,67795,3,12,23.516666666666666,0
299,32,91,0,0,6,118,0,0,33,54473,5,16,0.2,3
300,435,74,0,2,0,0,0,0,78,136085,4,16,7.416666666666668,0
301,475,39,0,0,12,47,0,0,45,63290,5,13,12.883333333333333,3
302,382,39,0,0,0,14,1,0,37,4852,0,17,8.25,1
303,234,126,0,0,4,14,1,0,68,3806,0,18,7.083333333333332,0
304,473,39,0,0,36,223,0,0,132,104069,0,19,10.416666666666666,1
305,128,95,0,0,3,13,0,1,49,20991,0,13,17.6,3
306,238,2,1,0,0,0,1,0,24,249,0,9,19.28333333333333,2
307,338,39,0,2,2,34,0,0,34,81965,1,20,18.25,0
308,382,39,0,0,8,15,0,1,46,13296,1,20,8.9,0
309,32,64,0,0,17,192,1,0,99,75733,5,11,1.4,3
310,382,39,0,0,12,112,0,1,126,107429,3,14,5.216666666666667,1
311,327,62,0,0,12,45,0,0,60,50327,2,17,4.166666666666667,3
312,507,39,0,0,28,121,1,1,80,86703,3,16,12.05,1
313,238,2,2,0,0,1,0,0,15,4312,0,14,10.283333333333333,2
314,238,2,0,0,0,19,1,0,37,12842,4,16,14.466666666666667,2
315,382,39,0,0,10,102,1,0,102,82922,0,9,17.4,1
316,395,117,0,0,12,89,0,1,30,44480,5,18,7.633333333333333,1
317,317,116,1,2,0,0,0,0,22,130044,3,17,13.666666666666664,0
318,338,39,0,2,1,35,0,0,34,80451,4,14,20.166666666666668,0
319,54,39,0,6,8,20,1,0,39,18210,3,12,8.366666666666667,3
320,248,132,0,6,17,35,0,0,64,23074,0,19,5.216666666666667,3
321,294,39,0,0,4,29,0,0,23,22796,6,10,14.983333333333333,3
322,32,91,0,2,0,0,0,0,49,4,6,17,0.6833333333333333,3
323,164,121,0,6,7,30,0,0,37,34906,0,12,21.016666666666666,3
324,360,39,0,0,0,10,0,1,54,4492,4,19,14.5,0
325,238,2,0,0,0,6,1,0,21,2658,0,19,9.483333333333333,2
326,32,91,0,2,0,0,0,0,49,4,6,11,0.4,3
327,238,2,1,3,0,0,0,0,12,181582,0,20,18.03333333333333,2
328,222,39,0,0,1,10,0,0,28,46576,5,13,14.966666666666667,0
329,68,126,0,0,5,21,0,0,79,39126,5,10,16.683333333333334,0
330,335,75,0,0,0,4,1,0,32,1210,0,9,4.6,0
331,32,91,0,0,27,152,0,0,38,66301,3,15,2.85,3
332,334,89,0,0,0,10,1,0,55,151746,6,18,9.55,0
333,504,126,0,0,6,32,0,0,45,44725,2,11,1.1666666666666667,3
334,481,39,0,0,4,19,0,0,37,27187,4,14,15.433333333333335,0
335,238,2,5,0,1,3,1,0,48,4633,0,15,15.433333333333335,2
336,408,76,0,0,9,46,0,0,51,25935,6,18,11.05,3
337,238,2,3,0,0,0,1,0,25,343,3,13,19.183333333333334,2
338,97,39,0,0,0,11,0,0,39,6889,5,16,22.91666666666667,3
339,214,39,1,0,4,12,0,0,31,6007,6,14,15.683333333333335,0
340,214,39,2,0,4,12,0,0,41,6154,6,10,13.216666666666667,0
341,373,39,0,0,70,222,0,0,35,102939,2,11,8.483333333333333,3
342,286,70,0,2,0,0,0,0,15,4,4,15,6.1,1
343,329,143,0,0,12,63,0,0,36,28067,1,12,19.366666666666667,3
344,238,2,1,0,0,1,0,0,47,2997,0,19,12.35,2
345,32,91,0,0,24,145,0,0,42,69272,2,20,0.2,3
346,238,2,4,0,1,3,1,1,25,5762,5,17,11.283333333333333,2
347,275,39,0,0,5,29,1,0,32,25102,4,9,11.416666666666664,0
348,238,2,0,0,0,4,1,0,99,2386,1,17,16.166666666666668,2
349,507,39,0,0,28,117,0,1,54,87632,3,16,14.766666666666667,1
350,182,39,0,7,0,1,0,0,30,388,3,12,3.5666666666666664,1
351,238,2,0,2,0,2,0,0,47,22553,6,13,18.6,0
352,408,76,0,0,12,52,0,0,42,38041,5,11,11.3,3
353,382,39,0,0,10,107,0,0,97,96749,2,9,2.55,1
354,238,2,0,0,1,1,1,0,39,2896,6,16,9.466666666666667,2
355,481,39,0,0,4,19,0,0,36,27259,5,20,16.6,0
356,238,2,0,2,0,0,0,0,7,216385,6,13,17.633333333333333,2
357,465,39,0,0,30,179,1,0,87,166629,2,15,19.266666666666666,0
358,465,39,0,0,7,31,1,0,103,31787,0,20,5.066666666666666,0
359,290,152,0,0,12,44,0,0,41,12344,3,11,22.066666666666666,0
360,296,69,0,0,12,76,0,0,19,77993,1,14,18.45,3
361,382,39,0,0,2,14,0,0,119,13286,6,20,7.116666666666666,1
362,382,39,0,0,10,109,1,0,100,87391,5,14,8.466666666666667,1
363,275,39,0,0,23,84,0,1,63,193362,6,14,12.016666666666667,1
364,238,2,2,2,0,11,1,0,40,240038,1,15,20.05,2
365,238,2,1,0,0,0,1,0,23,1544,0,15,16.55,2
366,473,39,0,0,6,54,0,1,50,36659,6,17,9.116666666666667,1
367,238,2,0,0,0,34,1,0,40,16026,6,20,13.75,2
368,343,39,0,2,1,0,0,0,38,301138,6,10,10.166666666666666,0
369,238,2,3,0,0,0,1,0,27,44538,3,14,21.73333333333333,2
370,238,2,6,2,0,6,1,0,29,1250496,4,16,17.066666666666666,2
371,286,100,0,0,4,25,0,0,39,8532,0,18,17.216666666666665,0
372,473,39,0,0,11,33,0,0,57,16426,5,12,13.55,1
373,507,39,0,0,17,63,0,0,61,56757,2,15,18.78333333333333,1
374,436,39,0,6,5,22,0,0,30,10257,4,19,15.0,3
375,301,39,0,0,6,37,0,0,16,28923,6,12,1.6166666666666667,3
376,32,91,0,2,0,0,0,0,39,4,0,15,0.35,3
377,382,39,0,0,16,111,1,1,42,100172,3,18,2.25,1
378,214,39,0,6,4,20,0,0,36,6758,5,9,4.1,0
379,224,39,0,0,1,11,0,0,35,35287,4,20,15.783333333333333,0
380,465,39,0,0,16,73,1,1,140,112444,0,20,14.083333333333336,3
381,214,39,0,6,2,12,0,0,36,4413,3,12,0.18333333333333326,0
382,238,2,0,0,0,7,1,0,35,4555,4,20,20.33333333333333,2
383,382,39,0,0,13,115,1,1,47,105087,4,16,10.55,1
384,382,39,0,0,8,15,0,0,66,13960,4,16,17.75,0
385,389,91,0,0,7,25,0,0,40,6866,0,9,9.316666666666666,3
386,461,91,0,0,21,60,1,0,42,22944,2,17,16.0,3
388,327,62,0,0,17,57,0,0,123,58314,0,16,0.85,3
389,275,39,0,0,7,19,0,0,26,20868,0,17,21.73333333333333,1
390,214,39,0,6,8,36,0,0,36,11117,2,17,1.45,0
391,332,133,0,0,7,40,0,0,57,38331,5,14,8.6,1
392,32,91,0,0,31,267,1,0,29,117298,2,14,2.8166666666666664,3
393,275,39,0,0,5,29,0,0,29,22963,2,14,8.766666666666667,0
394,403,75,0,6,30,62,0,0,100,38868,0,20,17.6,3
395,382,39,0,0,1,14,1,0,33,4868,1,10,21.48333333333333,1
